candidate,score_variant,uses_eeg,control_type,blend_source,blend_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,base_only,False,H2_E0_non_eeg,base_logit,1.0,5,0.6172681998864366,0.0,0.6313087947928572,0.6172681998864366,0.6226766664954387,0.6252956156130759,0.6774032792921516,1.0,0.0
V2H-local-H2_E0,eeg_plus_base_0p50,False,H2_E0_non_eeg,base_logit,0.5,5,0.611552550706549,0.0071169914732414595,0.6228479287099751,0.611552550706549,0.6049165103510684,0.6093056593612151,0.6288723639180924,0.2,0.0
V2H-local-H2_E0,eeg_plus_base_rank_0p50,False,H2_E0_non_eeg,base_session_rank,0.5,5,0.6099793257551573,0.00906523377387218,0.6205115507431884,0.6099793257551573,0.6019666150460805,0.6066050487945329,0.6184640108868548,0.2,0.0
V2H-local-H2_E0,eeg_plus_base_rank_0p25,False,H2_E0_non_eeg,base_session_rank,0.25,5,0.6052901014444814,0.009201633759699927,0.6146977215760894,0.6052901014444814,0.5958277928312241,0.6001086536185742,0.6165591294807492,0.2,0.0
V2H-local-H2_E0,eeg_plus_base_0p25,False,H2_E0_non_eeg,base_logit,0.25,5,0.6043407808851293,0.008666007681001618,0.6139635151463312,0.6043407808851293,0.5955530265421668,0.5997431824495317,0.621978017522239,0.2,0.0
V2H-local-H2_E0,eeg_plus_base_0p10,False,H2_E0_non_eeg,base_logit,0.1,5,0.6001259499717031,0.008538243419168085,0.6081530955213231,0.6001259499717031,0.589961569153725,0.5940942823710681,0.617402562914066,0.0,0.0
V2H-local-H2_E0,eeg_plus_base_0p05,False,H2_E0_non_eeg,base_logit,0.05,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,eeg_only,False,H2_E0_non_eeg,eeg_score,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-real,eeg_plus_base_0p05,True,real_eeg,base_logit,0.05,5,0.6760938781668874,0.007303294553826833,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0
V2H-local-real,eeg_plus_base_rank_0p50,True,real_eeg,base_session_rank,0.5,5,0.6759840931154762,0.005604125476536167,0.6869467641342196,0.6759840931154762,0.669423076719487,0.6730806369189306,0.5888559433401817,1.0,0.0
V2H-local-real,eeg_only,True,real_eeg,eeg_score,0.0,5,0.6756975219324226,0.006467477685606493,0.6780740753672072,0.6756975219324226,0.6679187710470293,0.6682603549815852,0.5871749758487417,1.0,0.0
V2H-local-real,eeg_plus_base_0p10,True,real_eeg,base_logit,0.1,5,0.6750978828365392,0.007474762865948093,0.6816333783632731,0.6750978828365392,0.6675933498195559,0.6696837800647324,0.5885898449645184,1.0,0.0
V2H-local-real,eeg_plus_base_0p25,True,real_eeg,base_logit,0.25,5,0.6746618401968327,0.007134178324629617,0.6826175349878066,0.6746618401968327,0.6669584356859384,0.6702592067324209,0.5906394599378303,1.0,0.0
V2H-local-real,eeg_plus_base_0p50,True,real_eeg,base_logit,0.5,5,0.6744505002043875,0.006973388144901484,0.6820466578139115,0.6744505002043875,0.6662407034391202,0.6697690705825626,0.5940945851317936,1.0,0.0
V2H-local-real,eeg_plus_base_rank_0p25,True,real_eeg,base_session_rank,0.25,5,0.6742439702734492,0.006292832164879421,0.6839642405328158,0.6742439702734492,0.6676158272780118,0.6705223968418413,0.5879955489843889,1.0,0.0
V2H-local-real,base_only,True,real_eeg,base_logit,1.0,5,0.6172681998864366,0.0,0.6313087947928572,0.6172681998864366,0.6226766664954387,0.6252956156130759,0.6774032792921516,1.0,0.0
V2H-local-shuffle,eeg_plus_base_0p25,False,shuffle_eeg_control,base_logit,0.25,5,0.6375120894032406,0.006172669468111393,0.6559748368706502,0.6375120894032406,0.635168955584702,0.6373882798932402,0.6010445892161334,1.0,0.0
V2H-local-shuffle,eeg_plus_base_0p50,False,shuffle_eeg_control,base_logit,0.5,5,0.6364205130972798,0.005913728946756409,0.6600868530548122,0.6364205130972798,0.6369863754101405,0.6423728390216485,0.6044640093696018,1.0,0.0
V2H-local-shuffle,eeg_plus_base_rank_0p50,False,shuffle_eeg_control,base_session_rank,0.5,5,0.6355782259821015,0.006820570320411626,0.6548345161301387,0.6355782259821015,0.6356278415150335,0.6381158936595445,0.5995313840516889,1.0,0.0
V2H-local-shuffle,eeg_plus_base_0p10,False,shuffle_eeg_control,base_logit,0.1,5,0.6344808091519322,0.006302258803611222,0.6493090121316524,0.6344808091519322,0.6314881365525625,0.6325575428392888,0.5989210008050847,1.0,0.0
V2H-local-shuffle,eeg_plus_base_rank_0p25,False,shuffle_eeg_control,base_session_rank,0.25,5,0.6341419117153922,0.007419958283559159,0.6497683255978227,0.6341419117153922,0.6317391822369757,0.6331956482670769,0.5986141092689172,1.0,0.0
V2H-local-shuffle,eeg_plus_base_0p05,False,shuffle_eeg_control,base_logit,0.05,5,0.6333373859923992,0.006639291380541284,0.6467713157561584,0.6333373859923992,0.6299484453908378,0.6310281375737725,0.5983469988405159,1.0,0.0
V2H-local-shuffle,eeg_only,False,shuffle_eeg_control,eeg_score,0.0,5,0.6323242867109997,0.00743908369312346,0.6459842795676867,0.6323242867109997,0.6285841865279359,0.629641927663753,0.5976492212171554,1.0,0.0
V2H-local-shuffle,base_only,False,shuffle_eeg_control,base_logit,1.0,5,0.6172681998864366,0.0,0.6313087947928572,0.6172681998864366,0.6226766664954387,0.6252956156130759,0.6774032792921516,1.0,0.0
V2H-local-zero,base_only,False,zero_eeg_control,base_logit,1.0,5,0.6172681998864366,0.0,0.6313087947928572,0.6172681998864366,0.6226766664954387,0.6252956156130759,0.6774032792921516,1.0,0.0
