phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,blend_source,blend_weight,selected_alignment,stage1_source,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6438127090301003,0.6252435626542769,0.6438127090301003,0.634208891637463,598,35,28,0.6140990932781978,0.611915090531162,0.6162096494272822,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6471571906354515,0.6583379847665564,0.6471571906354515,0.6927309145880575,598,35,28,0.639688031702957,0.6361615946883805,0.6040263797292607,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6053511705685619,0.6028384214991357,0.6053511705685619,0.5733238507524222,598,35,28,0.6038363377915618,0.5971337095444238,0.6173203748698368,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6471571906354515,0.6547665561951277,0.6471571906354515,0.686302343159486,598,35,28,0.6395387779716138,0.6356258804026662,0.604581742450538,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p10,base_logit,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6505016722408027,0.6593961858247573,0.6505016722408027,0.6900060468631898,598,35,28,0.6423354009174905,0.6381811954579811,0.6047205831308573,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p25,base_logit,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6488294314381271,0.6551964503750219,0.6488294314381271,0.6837664399092971,598,35,28,0.6376966897116151,0.6331757627293342,0.60624783061437,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p50,base_logit,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6488294314381271,0.6758474329902902,0.6488294314381271,0.7002872260015118,598,35,28,0.6421233658547091,0.6388040696076409,0.6086081221797988,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_rank_0p25,base_session_rank,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6421404682274248,0.6481858683644399,0.6421404682274248,0.6784981103552533,598,35,28,0.6334465120286016,0.6293915129182986,0.6048594238111767,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6505016722408027,0.6548723763009477,0.6505016722408027,0.6835071806500378,598,35,28,0.6358547091382912,0.6318964732357589,0.606039569593891,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7123745819397993,0.724415970933828,0.7123745819397993,0.747588332302618,598,35,28,0.7075219142383321,0.7063942357245928,0.607913918778202,28
