fold,split,event_count,user_count,item_count,positive_count,negative_count,like_rate,binary_label_entropy,user_like_rate_std,user_like_rate_iqr,all_positive_user_count,all_negative_user_count,user_item_pair_count,repeated_user_item_pair_count,conflicting_user_item_pair_count,conflicting_user_item_pair_rate,repeated_item_count,conflicting_item_count,conflicting_item_rate,view_duration_label_auc,playrate_label_auc,interest_label_auc,immersion_label_auc,valence_label_auc,arousal_label_auc,posterior_label_auc_max,posterior_label_auc_mean
1,train,1786,30,1087,546,1240,0.3057110862262038,0.8881604516372956,0.16360440507788387,0.2607918651396912,0,0,1786,0,0,0.0,105,60,0.5714285714285714,0.8430565402339597,0.8420743235259364,0.8348686931348221,0.8250155086848636,0.7967453917050691,0.7944877702942219,0.8430565402339597,0.8227080379298121
1,dev,349,30,310,134,215,0.3839541547277937,0.9607869104988342,0.23605281722630156,0.2837301587301587,0,2,349,0,0,0.0,14,7,0.5,0.8276119402985074,0.8047552933009372,0.8123047552933009,0.7805102395001735,0.7766227004512322,0.7568379035057271,0.8276119402985074,0.7931071387249796
1,train_dev,2135,30,1351,680,1455,0.3185011709601874,0.9027440835166104,0.16056600457202014,0.2706064768564769,0,0,2135,0,0,0.0,116,68,0.5862068965517241,0.8411830402263999,0.8355134424903983,0.830748938750758,0.8169319789771579,0.7927294319789773,0.7871245199110573,0.8411830402263999,0.8173718920557915
2,train,2135,30,1351,680,1455,0.3185011709601874,0.9027440835166104,0.16056600457202014,0.2706064768564769,0,0,2135,0,0,0.0,116,68,0.5862068965517241,0.8411830402263999,0.8355134424903983,0.830748938750758,0.8169319789771579,0.7927294319789773,0.7871245199110573,0.8411830402263999,0.8173718920557915
2,dev,356,30,339,117,239,0.32865168539325845,0.913542871138709,0.25524609004126625,0.2619047619047619,0,4,356,0,0,0.0,10,3,0.3,0.8036333726710295,0.7560347602188606,0.8080678038837035,0.7747559274755929,0.7770089046239674,0.7222937453062976,0.8080678038837035,0.7736324190299086
2,train_dev,2491,30,1645,797,1694,0.3199518265756724,0.9043290632223098,0.16303065272625503,0.24512712473238785,0,0,2491,0,0,0.0,137,81,0.5912408759124088,0.8353951284258117,0.8235169074110559,0.8274747096179742,0.8107446904640927,0.7905501593194075,0.7770317113022713,0.8353951284258117,0.8107855510901022
3,train,2491,30,1645,797,1694,0.3199518265756724,0.9043290632223098,0.16303065272625503,0.24512712473238785,0,0,2491,0,0,0.0,137,81,0.5912408759124088,0.8353951284258117,0.8235169074110559,0.8274747096179742,0.8107446904640927,0.7905501593194075,0.7770317113022713,0.8353951284258117,0.8107855510901022
3,dev,357,30,351,111,246,0.31092436974789917,0.894237604425977,0.24398174609309312,0.35119047619047616,0,6,357,0,0,0.0,6,2,0.3333333333333333,0.7913279132791329,0.8026441075221563,0.8253314289899656,0.7958690397714787,0.8171464147073904,0.7589540760272467,0.8253314289899656,0.7985454967162284
3,train_dev,2848,30,1962,908,1940,0.3188202247191011,0.9030938788650419,0.1625563324499077,0.26241582910563677,0,0,2848,0,0,0.0,157,88,0.5605095541401274,0.8296894159589445,0.820875437122485,0.8272775784549706,0.8091364276306826,0.7939853081429675,0.7748484263590535,0.8296894159589445,0.8093020989448506
