config_id,candidate,uses_eeg,pairwise_c,pair_sample_rate,pair_cap,seed_count,mean_local_user_pair_gauc,std_local_user_pair_gauc,mean_transfer_gauc,std_transfer_gauc,min_seed_transfer_gauc,max_seed_transfer_gauc,mean_transfer_macro_user_auc,mean_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
C0p3-sample0p35-cap3000,V2H-local-real,True,0.3,0.35,3000,5,0.6756975219324226,0.006467477685606493,0.6679187710470293,0.0043087037525378945,0.662642030178357,0.6728685636860018,0.6682603549815852,0.37628723813535225,1.0,0.0
C0p1-sample0p6-cap3000,V2H-local-real,True,0.1,0.6,3000,5,0.6653032644317043,0.00630058585119743,0.6498147012942066,0.004596432966504043,0.6455491559905161,0.6555127725810751,0.6491212028712029,0.3739990106125265,1.0,0.0
C0p1-sample0p35-cap3000,V2H-local-real,True,0.1,0.35,3000,5,0.6645228853904557,0.006117744985629353,0.64848620668213,0.004973118071509284,0.6391655975920324,0.6534910270518669,0.6479594263760932,0.37491304509129536,1.0,0.0
C0p03-sample0p35-cap3000,V2H-local-real,True,0.03,0.35,3000,5,0.6552497354775063,0.007169644044227631,0.6342070861485931,0.00616685742986473,0.6249615976524621,0.6431463790672853,0.633388694198218,0.38252054369450905,1.0,0.0
