representation,candidate,seed_count,mean_transfer_gauc,std_transfer_gauc,mean_transfer_macro_user_auc,mean_transfer_global_auc,mean_local_user_pair_gauc,seed_beats_current_champion_rate,seed_hits_0p8_rate
full_mean_std,V2K-real-full_mean_std,3,0.6624706714176868,0.011062413827139206,0.6647658833670739,0.5932074817608016,0.6676936121213517,1.0,0.0
subject_residual_full,V2K-real-subject_residual_full,3,0.6602102785098836,0.004758546872710077,0.6627083927365013,0.5759370743240946,0.6635590514517523,1.0,0.0
recent_weighted_full,V2K-real-recent_weighted_full,3,0.6583982656601016,0.00216866805316239,0.6589269269824825,0.6072951839633837,0.6712267029969431,1.0,0.0
session_residual_full,V2K-real-session_residual_full,3,0.6408499015832188,0.005828796145171888,0.6460557738484325,0.5763612953594831,0.6377441115481557,1.0,0.0
band_channel_grouped,V2K-real-band_channel_grouped,3,0.6088455382766714,0.0004798516629414583,0.6126441575399908,0.6025161348134268,0.6198397479760057,0.0,0.0
