fold,event_count,user_count,positive_count,negative_count,like_rate,valid_user_count,excluded_user_count,real_gauc,real_macro_auc,real_global_auc,h2_gauc,zero_gauc,shuffle_gauc,delta_h2_gauc,delta_zero_gauc,delta_shuffle_gauc,zero_sensitivity_mean,shuffle_sensitivity_mean,h2_sensitivity_mean,eeg_correction_abs_mean,history_length_mean,history_length_median,seen_item_rate,session_mode_distribution,video_type_distribution,current_champion_gauc,delta_current_champion_gauc,run_gauc_mean,run_gauc_std,run_gauc_max,run_gauc_min,best_seed,best_seed_gauc,run_delta_h2_mean,run_zero_sensitivity_mean,run_shuffle_sensitivity_mean,run_correction_abs_mean,eeg_epoch_count,eeg_pairwise_loss_mean,eeg_paired_users_mean,eeg_paired_users_max,eeg_best_dev_gauc_seen,train_pair_eligible_user_count,train_pair_cap_per_epoch_sum,train_pair_minor_class_coverage_mean,train_pair_pairspace_coverage_mean
1,349,30,134,215,0.3839541547277937,28,2,0.5958050655811851,0.5898604669140385,0.5942381117667477,0.5916520212788869,0.5959756412741488,0.5959756412741488,0.004153044302298126,-0.00017057569296374808,-0.00017057569296374808,0.0005754537118995518,0.00035857316017606636,0.0020911385444879744,0.00991725826201275,20.0,20.0,0.24355300859598855,0:0.0372;1:0.4585;2:0.1117;3:0.3926,0:0.2063;1:0.6819;2:0.1117,0.6038363377915618,-0.008031272210376694,0.5945666329248419,0.01617453730489939,0.6109189980831772,0.5725386056729341,1,0.6109189980831772,0.0009673852957434668,0.0006202730898318333,0.0003819432580106212,0.009917258449907667,24,0.7239720113575459,262.625,273,0.6109189980831772,30,228,0.5842542212427796,0.01439767223954974
2,356,30,117,239,0.32865168539325845,26,4,0.6482662563131314,0.6483153420653421,0.6956335157171977,0.6325794778138528,0.6009962346681096,0.613589127886003,0.015686778499278575,0.04727002164502181,0.034677128427128445,0.06593571176649113,0.030950627570940453,0.048942094097133675,0.2816115201729064,20.0,20.0,0.17134831460674158,0:0.0421;1:0.5646;2:0.1826;3:0.2107,0:0.1152;1:0.7022;2:0.1826,0.6280566829004328,0.020209573412698578,0.6426665088383839,0.028503421618801365,0.6811721004689755,0.6130862193362193,1,0.6811721004689755,0.0276716194684944,0.06804580055177206,0.0334369326010346,0.2816115195552507,42,0.7165329872059221,321.1904761904762,338,0.6811721004689755,30,233,0.48090633557093826,0.010276182152314624
3,357,30,111,246,0.31092436974789917,24,6,0.5831381419668132,0.6008449652199652,0.6870284919065407,0.5879288058483862,0.5831688804590902,0.5825572058089541,-0.00479066388157301,-3.073849227697156e-05,0.0005809361578591465,0.04611672474946184,0.023582499157759104,0.047938905739817635,0.2434534932338189,20.0,20.0,0.10084033613445378,0:0.0420;1:0.6499;2:0.2241;3:0.0840,0:0.0532;1:0.7227;2:0.2241,0.6361369787943215,-0.05299883682750828,0.5994586998083502,0.008113980080250298,0.6099876230995113,0.590243119351511,0,0.6099876230995113,0.0084873265817321,0.05012338552720997,0.02463193125004177,0.24345348173907647,30,0.7370025107264517,369.8,382,0.6099876230995113,30,233,0.42672466474737303,0.007871701849678212
