candidate,is_oracle,gauc,macro_auc,global_auc,gauc_gap_to_0p8
V2C-dynamic-gated-pairwise-0p05,False,0.588810692688461,0.5985730710681912,0.6813614838200475,0.21118930731153907
V2C-dynamic-gated-hardneg-0p05,False,0.5819500748546451,0.5890685404007737,0.6526874506708762,0.21804992514535493
V2C-gated_cross_attention-hardneg-0p05,False,0.5646787692944575,0.5739949712052705,0.654080505130229,0.23532123070554256
V2C-gated_cross_attention-pairwise-0p05,False,0.5628111722370827,0.5638858245437331,0.6479518547750592,0.2371888277629174
V1-profile-dynamic-gated_cross_attention,False,0.5576189252593625,0.5635774559615261,0.6607498026835044,0.24238107474063753
