fold,source,real_scorer,control_scorer,control_type,real_local_user_pair_gauc,control_local_user_pair_gauc,delta_local_user_pair_gauc,real_local_pair_auc,control_local_pair_auc,delta_local_pair_auc,real_event_gauc,control_event_gauc,delta_event_gauc
0,current_champion,champion_real,champion_H2_E0,H2_E0,0.6172681998864366,0.5985833843745973,0.018684815511839203,0.6172681998864366,0.5985833843745973,0.018684815511839203,0.6226766664954387,0.6067097298145239,0.015966936680914867
1,current_champion,champion_real,champion_H2_E0,H2_E0,0.6053511705685619,0.5936454849498328,0.01170568561872909,0.6053511705685619,0.5936454849498328,0.01170568561872909,0.6038363377915618,0.5927194116000087,0.011116926191553023
2,current_champion,champion_real,champion_H2_E0,H2_E0,0.6267123287671232,0.6147260273972602,0.011986301369863006,0.6267123287671232,0.6147260273972602,0.011986301369863006,0.6280566829004328,0.6304006583694084,-0.0023439754689755787
3,current_champion,champion_real,champion_H2_E0,H2_E0,0.6197411003236246,0.587378640776699,0.032362459546925626,0.6197411003236246,0.587378640776699,0.032362459546925626,0.6361369787943215,0.5970091194741545,0.03912785932016705
0,current_champion,champion_real,champion_causal_shuffle,causal_shuffle,0.6172681998864366,0.5990058370151988,0.018262362871237725,0.6172681998864366,0.5990058370151988,0.018262362871237725,0.6226766664954387,0.6005759327576433,0.02210073373779542
1,current_champion,champion_real,champion_causal_shuffle,causal_shuffle,0.6053511705685619,0.5886287625418061,0.01672240802675584,0.6053511705685619,0.5886287625418061,0.01672240802675584,0.6038363377915618,0.5942971290732485,0.009539208718313263
2,current_champion,champion_real,champion_causal_shuffle,causal_shuffle,0.6267123287671232,0.6113013698630136,0.015410958904109595,0.6267123287671232,0.6113013698630136,0.015410958904109595,0.6280566829004328,0.61049761002886,0.017559072871572767
3,current_champion,champion_real,champion_causal_shuffle,causal_shuffle,0.6197411003236246,0.5970873786407767,0.02265372168284796,0.6197411003236246,0.5970873786407767,0.02265372168284796,0.6361369787943215,0.5969330591708214,0.039203919623500116
0,current_champion,champion_real,champion_zero,zero,0.6172681998864366,0.5964305636917628,0.020837636194673714,0.6172681998864366,0.5964305636917628,0.020837636194673714,0.6226766664954387,0.6028145681964358,0.019862098299002984
1,current_champion,champion_real,champion_zero,zero,0.6053511705685619,0.596989966555184,0.00836120401337792,0.6053511705685619,0.596989966555184,0.00836120401337792,0.6038363377915618,0.5947343369731432,0.00910200081841861
2,current_champion,champion_real,champion_zero,zero,0.6267123287671232,0.613013698630137,0.013698630136986245,0.6267123287671232,0.613013698630137,0.013698630136986245,0.6280566829004328,0.6265127840909092,0.0015438988095236583
3,current_champion,champion_real,champion_zero,zero,0.6197411003236246,0.5792880258899676,0.04045307443365698,0.6197411003236246,0.5792880258899676,0.04045307443365698,0.6361369787943215,0.5871965835252548,0.04894039526906668
0,v2e_best,v2e_real,v2e_H2_E0,H2_E0,0.6092443982737847,0.5975540769280686,0.011690321345716126,0.6092443982737847,0.5975540769280686,0.011690321345716126,0.6117300196826,0.60432062566289,0.0074093940197099695
1,v2e_best,v2e_real,v2e_H2_E0,H2_E0,0.596989966555184,0.5953177257525084,0.0016722408026755842,0.596989966555184,0.5953177257525084,0.0016722408026755842,0.5943764941526135,0.5917728457280698,0.0026036484245437475
2,v2e_best,v2e_real,v2e_H2_E0,H2_E0,0.6352739726027398,0.6164383561643836,0.018835616438356184,0.6352739726027398,0.6164383561643836,0.018835616438356184,0.6396116296897547,0.6326315611471861,0.006980068542568607
3,v2e_best,v2e_real,v2e_H2_E0,H2_E0,0.5954692556634305,0.580906148867314,0.014563106796116498,0.5954692556634305,0.580906148867314,0.014563106796116498,0.6012019352054317,0.5885574701134142,0.012644465092017554
0,v2e_best,v2e_real,v2e_causal_shuffle,causal_shuffle,0.6092443982737847,0.6076396379512544,0.0016047603225303186,0.6092443982737847,0.6076396379512544,0.0016047603225303186,0.6117300196826,0.603713078501731,0.008016941180869042
1,v2e_best,v2e_real,v2e_causal_shuffle,causal_shuffle,0.596989966555184,0.5953177257525084,0.0016722408026755842,0.596989966555184,0.5953177257525084,0.0016722408026755842,0.5943764941526135,0.5953182141241844,-0.0009417199715708868
2,v2e_best,v2e_real,v2e_causal_shuffle,causal_shuffle,0.6352739726027398,0.636986301369863,-0.001712328767123239,0.6352739726027398,0.636986301369863,-0.001712328767123239,0.6396116296897547,0.6324644886363637,0.007147141053390982
3,v2e_best,v2e_real,v2e_causal_shuffle,causal_shuffle,0.5954692556634305,0.5906148867313916,0.004854368932038833,0.5954692556634305,0.5906148867313916,0.004854368932038833,0.6012019352054317,0.5833565327446446,0.01784540246078714
0,v2e_best,v2e_real,v2e_zero,zero,0.6092443982737847,0.5930059061575162,0.016238492116268488,0.6092443982737847,0.5930059061575162,0.016238492116268488,0.6117300196826,0.5936218018487044,0.0181082178338956
1,v2e_best,v2e_real,v2e_zero,zero,0.596989966555184,0.596989966555184,0.0,0.596989966555184,0.596989966555184,0.0,0.5943764941526135,0.5962255820464777,-0.0018490878938641764
2,v2e_best,v2e_real,v2e_zero,zero,0.6352739726027398,0.6027397260273972,0.03253424657534254,0.6352739726027398,0.6027397260273972,0.03253424657534254,0.6396116296897547,0.6020451163419913,0.0375665133477634
3,v2e_best,v2e_real,v2e_zero,zero,0.5954692556634305,0.5792880258899676,0.016181229773462813,0.5954692556634305,0.5792880258899676,0.016181229773462813,0.6012019352054317,0.5825947071576443,0.018607228047787472
