fold,task,source,scorer,score_column,uses_eeg,control_type,local_pair_auc,local_context_macro_auc,local_user_pair_gauc,local_user_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc,event_valid_user_count
1,same_user_same_session_pairwise_ranking,current_champion,champion_H2_E0,champion_H2_E0,False,no_eeg_control,0.5936454849498328,0.5754654710368996,0.5936454849498328,0.6010511611404469,598,35,28,0.5927194116000087,0.5856809163059163,0.5935091981950713,28
2,same_user_same_session_pairwise_ranking,current_champion,champion_H2_E0,champion_H2_E0,False,no_eeg_control,0.6147260273972602,0.6533166987333654,0.6147260273972602,0.6419221981721983,584,30,26,0.6304006583694084,0.63246595996596,0.61112899188213,26
3,same_user_same_session_pairwise_ranking,current_champion,champion_H2_E0,champion_H2_E0,False,no_eeg_control,0.587378640776699,0.5964565791351506,0.587378640776699,0.6209468509037975,618,28,24,0.5970091194741545,0.6140229754813088,0.6786420566908372,24
1,same_user_same_session_pairwise_ranking,current_champion,champion_causal_shuffle,champion_causal_shuffle,False,shuffle_control,0.5886287625418061,0.5804768089053803,0.5886287625418061,0.5967024344702916,598,35,28,0.5942971290732485,0.5876542207792209,0.6235334953141272,28
2,same_user_same_session_pairwise_ranking,current_champion,champion_causal_shuffle,champion_causal_shuffle,False,shuffle_control,0.6113013698630136,0.6239570306236973,0.6113013698630136,0.6226976726976727,584,30,26,0.61049761002886,0.6095637233137233,0.6625540893323321,26
3,same_user_same_session_pairwise_ranking,current_champion,champion_causal_shuffle,champion_causal_shuffle,False,shuffle_control,0.5970873786407767,0.5978933533397818,0.5970873786407767,0.6234604929790043,618,28,24,0.5969330591708214,0.6159505348047014,0.7135428111037868,24
1,same_user_same_session_pairwise_ranking,current_champion,champion_real,champion_real,True,real_eeg,0.6053511705685619,0.5733238507524222,0.6053511705685619,0.6028384214991357,598,35,28,0.6038363377915618,0.5971337095444238,0.6173203748698368,28
2,same_user_same_session_pairwise_ranking,current_champion,champion_real,champion_real,True,real_eeg,0.6267123287671232,0.6421412538079204,0.6267123287671232,0.6368876493876494,584,30,26,0.6280566829004328,0.6281401468901469,0.6986732467904017,26
3,same_user_same_session_pairwise_ranking,current_champion,champion_real,champion_real,True,real_eeg,0.6197411003236246,0.6064140257890258,0.6197411003236246,0.6542003134917866,618,28,24,0.6361369787943215,0.650612990404657,0.7162162162162162,24
1,same_user_same_session_pairwise_ranking,current_champion,champion_zero,champion_zero,False,zero_eeg_control,0.596989966555184,0.5762477839620697,0.596989966555184,0.6020290522969095,598,35,28,0.5947343369731432,0.5875941816120388,0.5961471711211385,28
2,same_user_same_session_pairwise_ranking,current_champion,champion_zero,champion_zero,False,zero_eeg_control,0.613013698630137,0.6520973625140292,0.613013698630137,0.6405152717652718,584,30,26,0.6265127840909092,0.6288352850852851,0.6191038157565354,26
3,same_user_same_session_pairwise_ranking,current_champion,champion_zero,champion_zero,False,zero_eeg_control,0.5792880258899676,0.5898077782006352,0.5792880258899676,0.61387196013099,618,28,24,0.5871965835252548,0.6043072668072668,0.6770673112136527,24
1,same_user_same_session_pairwise_ranking,history_behavior,history_like_rate,history_like_rate_score,False,non_eeg_baseline,0.2817725752508361,0.20195049130763418,0.2817725752508361,0.21808382754811326,598,35,28,0.2914376171092589,0.28842160980553844,0.6523602915654286,28
2,same_user_same_session_pairwise_ranking,history_behavior,history_like_rate,history_like_rate_score,False,non_eeg_baseline,0.23715753424657535,0.24040704665704665,0.23715753424657535,0.24508200133200134,584,30,26,0.28880602904040403,0.28981254856254857,0.706183170618317,26
3,same_user_same_session_pairwise_ranking,history_behavior,history_like_rate,history_like_rate_score,False,non_eeg_baseline,0.215210355987055,0.2112692829657115,0.215210355987055,0.2118111289128446,618,28,24,0.22881272767636401,0.23227668550585215,0.7154654654654655,24
1,same_user_same_session_pairwise_ranking,v2e_best,v2e_H2_E0,v2e_H2_E0,False,no_eeg_control,0.5953177257525084,0.5769497010925583,0.5953177257525084,0.6029064487100202,598,35,28,0.5917728457280698,0.5854358637394351,0.5860812217979868,28
2,same_user_same_session_pairwise_ranking,v2e_best,v2e_H2_E0,v2e_H2_E0,False,no_eeg_control,0.6164383561643836,0.6469079685746352,0.6164383561643836,0.6457454582454584,584,30,26,0.6326315611471861,0.6355108317608317,0.6245753316883025,26
3,same_user_same_session_pairwise_ranking,v2e_best,v2e_H2_E0,v2e_H2_E0,False,no_eeg_control,0.580906148867314,0.5935774476845904,0.580906148867314,0.6165914495637471,618,28,24,0.5885574701134142,0.604652084027084,0.6194975463268146,24
1,same_user_same_session_pairwise_ranking,v2e_best,v2e_causal_shuffle,v2e_causal_shuffle,False,shuffle_control,0.5953177257525084,0.576632240775098,0.5953177257525084,0.6025096233131947,598,35,28,0.5953182141241844,0.5893757730364874,0.5934744880249914,28
2,same_user_same_session_pairwise_ranking,v2e_best,v2e_causal_shuffle,v2e_causal_shuffle,False,shuffle_control,0.636986301369863,0.632962762546096,0.636986301369863,0.6464436026936027,584,30,26,0.6324644886363637,0.6320740833240834,0.6687050745628152,26
3,same_user_same_session_pairwise_ranking,v2e_best,v2e_causal_shuffle,v2e_causal_shuffle,False,shuffle_control,0.5906148867313916,0.5946563291206148,0.5906148867313916,0.6174781207629182,618,28,24,0.5833565327446446,0.600447816072816,0.6602211968065627,24
1,same_user_same_session_pairwise_ranking,v2e_best,v2e_real,v2e_real,True,real_eeg,0.596989966555184,0.5771424448567306,0.596989966555184,0.6031473784152356,598,35,28,0.5943764941526135,0.5885254329004329,0.591461298160361,28
2,same_user_same_session_pairwise_ranking,v2e_best,v2e_real,v2e_real,True,real_eeg,0.6352739726027398,0.627375140291807,0.6352739726027398,0.6393858456358458,584,30,26,0.6396116296897547,0.6386270211270213,0.6930944462325215,26
3,same_user_same_session_pairwise_ranking,v2e_best,v2e_real,v2e_real,True,real_eeg,0.5954692556634305,0.6046819120033405,0.5954692556634305,0.6296706658721299,618,28,24,0.6012019352054317,0.6162029714113048,0.6836958910129641,24
1,same_user_same_session_pairwise_ranking,v2e_best,v2e_zero,v2e_zero,False,zero_eeg_control,0.596989966555184,0.5772218099360955,0.596989966555184,0.6032465847644419,598,35,28,0.5962255820464777,0.5901127344877345,0.5879555709822979,28
2,same_user_same_session_pairwise_ranking,v2e_best,v2e_zero,v2e_zero,False,zero_eeg_control,0.6027397260273972,0.6244095719095719,0.6027397260273972,0.6112387612387612,584,30,26,0.6020451163419913,0.6032030469530469,0.6266852626685262,26
3,same_user_same_session_pairwise_ranking,v2e_best,v2e_zero,v2e_zero,False,zero_eeg_control,0.5792880258899676,0.5902258521901379,0.5792880258899676,0.6118131992646635,618,28,24,0.5825947071576443,0.5989010603593937,0.6167508972387021,24
