candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,margin_power0p1_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.15,5,0.6249022852005441,0.0074957982498947955,0.6387424749387162,0.6249022852005441,0.617945869300311,0.6206423220004569,0.6494773568310508,0.8,0.0
V2H-local-H2_E0,margin_power0p15_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.15,5,0.6237618014544004,0.00788313297285114,0.6376126301087509,0.6237618014544004,0.6162930434033089,0.6194958548946643,0.6420346923789606,0.8,0.0
V2H-local-H2_E0,margin_power0p1_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.1,5,0.6235361634830805,0.008048965505531046,0.6374225755645297,0.6235361634830805,0.6162014178987126,0.6192839240785669,0.6421460753796567,0.6,0.0
V2H-local-H2_E0,margin_power0p2_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.15,5,0.6218597798249637,0.008921046042804541,0.6355576749860852,0.6218597798249637,0.6143445288387589,0.6177453067949099,0.6366890518718434,0.6,0.0
V2H-local-H2_E0,margin_power0p1_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.075,5,0.6215433709395384,0.008832189286920427,0.6346666795177087,0.6215433709395384,0.6136166799360033,0.616904806429608,0.6372048848314449,0.6,0.0
V2H-local-H2_E0,margin_power0p15_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.1,5,0.6213070428443657,0.00888247610611199,0.6348802776730884,0.6213070428443657,0.6135373712368253,0.6168527846345306,0.6349949125826653,0.6,0.0
V2H-local-H2_E0,margin_power0p25_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.25,0.15,5,0.6187997306365556,0.008417219127891295,0.6319625651632446,0.6187997306365556,0.6106982604608896,0.6141497641834943,0.6331819531551782,0.4,0.0
V2H-local-H2_E0,margin_power0p1_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.1,0.05,5,0.6168761953182003,0.009441484432395203,0.6296069159618459,0.6168761953182003,0.6088187410873684,0.6124946677367312,0.6312690800998326,0.4,0.0
V2H-local-H2_E0,margin_power0p15_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.075,5,0.6162190578862546,0.00902587725365859,0.6287495904170204,0.6162190578862546,0.6080694005348988,0.6116467540763176,0.6310444402954951,0.4,0.0
V2H-local-H2_E0,margin_power0p2_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.1,5,0.6154414848171824,0.008523059657739382,0.6281376026357031,0.6154414848171824,0.6074510584275173,0.6110223221810523,0.6308706943669646,0.4,0.0
V2H-local-H2_E0,margin_power0p3_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.15,5,0.6146701921340952,0.00931035987996589,0.6275723701640378,0.6146701921340952,0.6069266523259615,0.6105915327691122,0.6303556712508983,0.4,0.0
V2H-local-H2_E0,margin_power0p35_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.15,5,0.6127896841935769,0.009781830217659318,0.6224596159601443,0.6127896841935769,0.6040807918774825,0.6078185774029029,0.6280802636148384,0.4,0.0
V2H-local-H2_E0,margin_power0p2_base0p075,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.075,5,0.6117999692492139,0.01041529965085102,0.6216661824132385,0.6117999692492139,0.6028707227935143,0.6067001300066776,0.6272677815604697,0.4,0.0
V2H-local-H2_E0,margin_power0p25_base0p1,False,H2_E0_non_eeg,fine_power_base_grid,0.25,0.1,5,0.6117010473010056,0.01023930681398928,0.62115035500505,0.6117010473010056,0.6027302982105424,0.6065817823049965,0.6277531377919503,0.4,0.0
V2H-local-H2_E0,margin_power0p4_base0p15,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.15,5,0.610893809508912,0.010185686292391005,0.6208493162307386,0.610893809508912,0.6021918117455819,0.6061422607742053,0.6262384937764438,0.4,0.0
V2H-local-H2_E0,margin_power0p15_base0p05,False,H2_E0_non_eeg,fine_power_base_grid,0.15,0.05,5,0.6104139376085229,0.009877033845829159,0.6205535212152016,0.6104139376085229,0.6016153850130307,0.6055507111201556,0.6261101216603784,0.4,0.0
