phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,power,base_weight,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p0,fine_power_base_grid,0.2,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p025,fine_power_base_grid,0.2,0.025,0.6438127090301003,0.6365777608634752,0.6438127090301003,0.6442988387274102,598,35,28,0.6168932394305529,0.6149338839070982,0.6433182922596321,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p05,fine_power_base_grid,0.2,0.05,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6448802499132245,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p075,fine_power_base_grid,0.2,0.075,0.6488294314381271,0.6396200889058032,0.6488294314381271,0.6467327011612726,598,35,28,0.6207809437660183,0.6185856223802653,0.6452967719541826,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p1,fine_power_base_grid,0.2,0.1,0.6538461538461539,0.6611336943479801,0.6538461538461539,0.6675150140864426,598,35,28,0.6199434644957034,0.6166411779358209,0.6457132939951405,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p15,fine_power_base_grid,0.2,0.15,0.6521739130434783,0.6594697333090191,0.6521739130434783,0.6465409881124167,598,35,28,0.6197457517606771,0.6168160774410775,0.6470322804581743,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p0,fine_power_base_grid,0.25,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p025,fine_power_base_grid,0.25,0.025,0.6438127090301003,0.6371729989587133,0.6438127090301003,0.6447750292036006,598,35,28,0.6166231612500268,0.6147638158798874,0.6426240888580355,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,fine_power_base_grid,0.25,0.05,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6157536990372812,0.6134741333402048,0.6442901770218674,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p075,fine_power_base_grid,0.25,0.075,0.6438127090301003,0.635387284672999,0.6438127090301003,0.6433464577750293,598,35,28,0.6160806357821282,0.613899303408232,0.6448455397431447,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p1,fine_power_base_grid,0.25,0.1,0.6488294314381271,0.6396200889058032,0.6488294314381271,0.6467327011612726,598,35,28,0.6190396502336801,0.6170975271421701,0.6450190905935439,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p15,fine_power_base_grid,0.25,0.15,0.6505016722408027,0.65800869434798,0.6505016722408027,0.6525150140864427,598,35,28,0.6178539122568973,0.6146322493643923,0.6467893092676155,28
