stage,config,run_count,gauc_mean,gauc_std,h2_gauc_mean,delta_h2_gauc_mean,delta_shuffle_gauc_mean,auc_mean,logloss_mean,brier_mean,ece_mean,h2_logloss_mean,h2_brier_mean,h2_ece_mean,correction_abs_mean,eeg_gradient_mean,zero_sensitivity_mean,shuffle_sensitivity_mean,elapsed_seconds
U2,U2-profile-cross_attention,9,0.6128493096945389,0.01991312116363385,0.6024726006787373,0.010376709015801554,0.002694590562541547,0.6302848782522034,0.6332989763722812,0.21587424590866686,0.06125174638110915,0.6427661163168081,0.22031024716419667,0.05680656536741172,0.12170234088423765,0.15421009535668134,0.02565428333926118,0.009814936165235445,125.5400083065033
U1,U1-profile-dynamic-film,9,0.6125490503488327,0.02531979696349804,0.5991566650423725,0.013392385306460019,0.007414682018096326,0.631900200632201,0.6327325110377156,0.21557630361237523,0.07034333824922817,0.641401449860326,0.21952110953379092,0.0559169007653363,0.1919476743722852,0.15188321044343697,0.054572948377578236,0.025469876954654563,228.72047233581543
U2,U2-profile-gated,9,0.6115735683810357,0.01800432565931214,0.6024726006787373,0.009100967702298365,0.007247017913017061,0.6515972507085088,0.6236868276348129,0.21128303098222523,0.053896390530571846,0.6427661163168081,0.22031024716419667,0.05680656536741172,0.2894853963540906,0.14407399024371417,0.05797984716572399,0.020449009491749673,154.05940699577332
U2,U2-profile-film,9,0.6110317484927471,0.011543230223031352,0.6024726006787373,0.008559147814009805,0.007908551438497842,0.633217320078167,0.6299341276876431,0.21437688738912555,0.054285425482913506,0.6427661163168081,0.22031024716419667,0.05680656536741172,0.1467892905865382,0.13934684252049,0.0286785981321979,0.009868948044135727,148.15804600715637
U1,U1-profile,9,0.6109510683527808,0.02344191906492842,0.6006915079304634,0.010259560422317423,0.004473845537137058,0.626882629290311,0.6344479191329209,0.2166532581014027,0.06192852952151075,0.6432285882878108,0.2205903666699045,0.06590833711444764,0.1259703690496584,0.10383920769895424,0.02525602704069267,0.005599192103545647,163.72913002967834
U2,U2-profile-bilinear,9,0.6109510683527808,0.02344191906492842,0.6006915079304634,0.010259560422317423,0.004473845537137058,0.626882629290311,0.6344479191329209,0.2166532581014027,0.06192852952151075,0.6432285882878108,0.2205903666699045,0.06590833711444764,0.1259703690496584,0.10383920769895424,0.02525602704069267,0.005599192103545647,146.98506951332092
U1,U1-profile-dynamic,9,0.6058304876561496,0.02077713991134549,0.5974962260733415,0.008334261582807959,0.014621032084765062,0.6253368999066373,0.6349767754166251,0.21653349244492334,0.0627575460304785,0.6434459794772732,0.2206144767177823,0.062188752249259044,0.14146709413681594,0.1630418028007833,0.03095376219264128,0.014278849239215359,224.47540831565857
U3,U3-small-transformer-film,9,0.6041419811581432,0.0227347968085918,0.5997911865216378,0.004350794636505463,0.0025969335011835192,0.6209065929240832,0.6353398660486849,0.21688361299152517,0.057123723464214224,0.642024232005143,0.2200591111136373,0.05707377334908524,0.0981710876415794,0.08420692555605444,0.018958573127747513,0.0047998990533718216,128.239892244339
U3,U3-pca16-film,9,0.6029324294336319,0.020428153482258737,0.5972593031790027,0.005673126254629223,0.001554835737438334,0.6134361040908267,0.6389072498359951,0.21851365062069428,0.05223443063762252,0.6446098382393575,0.22105791799071803,0.057319647590330064,0.05768651437958599,0.05272426803817519,0.006587878989396106,0.0016805086495171257,84.2002785205841
U1,U1-dynamic,9,0.6002697610692029,0.018588096243695548,0.5936141192558027,0.006655641813400294,0.014593678232939309,0.6169940462938305,0.639268026458871,0.2181823051226697,0.06165172645402217,0.6490576534287897,0.22277386031624116,0.0600736474224162,0.17078311343276356,0.18536705589098518,0.03657374525856641,0.022810179259775194,130.29142093658447
U3,U3-fixed-gcn-film,9,0.5996917399266884,0.01867188270155336,0.5942383407931079,0.005453399133580499,0.002555661158500317,0.6048692065469699,0.6415051577895551,0.21945898524677412,0.05736454296101243,0.6464989147804774,0.22168739818057104,0.05793174543582132,0.061848233512137085,0.06685636437405952,0.007740825895072905,0.002570769074736745,319.32262349128723
