phase,protocol_id,source_stage,candidate,protocol_name,protocol_family,metric_scope,uses_eeg,eligible_under_new_protocol,is_original_rolling_champion,mean_gauc,mean_macro_user_auc,mean_global_auc,mean_local_user_pair_gauc,seed_count,seed_beats_current_champion_rate,hits_0p8,locked_test_accessed,interpretation
V2-M,V2M-two_stage_user_local_reranker-v1,V2-J,V2H-local-real,v2j_same_user_local_ranking_metric,same_user_local_ranking,same-user local pair/list ranking,True,True,False,0.6756975219324226,0.6780740753672072,0.6756975219324226,0.6756975219324226,5,1.0,False,False,new_protocol_candidate
V2-M,V2M-two_stage_user_local_reranker-v1,V2-J,V2H-local-real,v2j_train_only_user_centered_transfer,two_stage_user_local_reranker,rolling-dev transfer score after train-only user alignment,True,True,False,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.6756975219324226,5,1.0,False,False,new_protocol_candidate
V2-M,V2M-two_stage_user_local_reranker-v1,V2-K,V2K-real-full_mean_std-same_session,v2k_protocolized_same_session_reranker,two_stage_user_local_reranker,protocolized same-session reranker transfer,True,True,False,0.6624706714176868,0.6647658833670739,0.5932074817608016,0.6676936121213517,3,1.0,False,False,new_protocol_candidate
V2-M,V2M-two_stage_user_local_reranker-v1,V1,V1-profile-dynamic-gated_cross_attention,current_formal_rolling_dev_champion,rolling_like_global_probability,original rolling-dev event prediction,True,False,True,0.6160204758227728,0.6193525280446578,0.654840267665957,,1,1.0,False,False,original_reference_only
