phase,protocol_id,split_version,candidate,seed,fold,uses_eeg,control_type,event_count,context_count,mean_history_count,std_history_count,mean_session_position,mean_context_event_count,mean_context_eeg_std,mean_context_base_std
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2026,1,False,H2_E0_non_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.6860243161150905,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2026,2,False,H2_E0_non_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.5950046676618884,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2026,3,False,H2_E0_non_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.7023077758792702,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2027,1,False,H2_E0_non_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.6813094299939327,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2027,2,False,H2_E0_non_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.5114530436756464,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2027,3,False,H2_E0_non_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.6593647081076293,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2028,1,False,H2_E0_non_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.5963695341708614,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2028,2,False,H2_E0_non_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.5729874747803018,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2028,3,False,H2_E0_non_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.5787329578418193,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2029,1,False,H2_E0_non_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7288939126090033,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2029,2,False,H2_E0_non_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6208447121996361,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2029,3,False,H2_E0_non_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.5296169577886746,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2030,1,False,H2_E0_non_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7007138362281529,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2030,2,False,H2_E0_non_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.523550464773791,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-H2_E0,2030,3,False,H2_E0_non_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.608243366510667,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2026,1,True,real_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,1.0963117944083687,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2026,2,True,real_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.9516997758590392,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2026,3,True,real_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.9292076375938219,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2027,1,True,real_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,1.0911102533829562,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2027,2,True,real_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.8903219802669152,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2027,3,True,real_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.9239103564037384,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2028,1,True,real_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,1.0420436649973688,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2028,2,True,real_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.8570929975039169,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2028,3,True,real_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.7208518510773153,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2029,1,True,real_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,1.1091326763736427,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2029,2,True,real_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.901298357023481,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2029,3,True,real_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.8167186523152263,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2030,1,True,real_eeg,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,1.0414702802845528,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2030,2,True,real_eeg,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.9789178109284262,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,2030,3,True,real_eeg,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.8920438866609076,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2026,1,False,shuffle_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7934388731632859,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2026,2,False,shuffle_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6505780268181961,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2026,3,False,shuffle_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.7124994615171668,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2027,1,False,shuffle_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7775851586563175,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2027,2,False,shuffle_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6361879190943935,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2027,3,False,shuffle_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.8030207596720449,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2028,1,False,shuffle_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7352012487447792,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2028,2,False,shuffle_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.7098753214024633,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2028,3,False,shuffle_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.8277197588513413,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2029,1,False,shuffle_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7591806960713432,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2029,2,False,shuffle_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6487098877943945,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2029,3,False,shuffle_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.7505883967092654,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2030,1,False,shuffle_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7258628611823932,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2030,2,False,shuffle_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6911930982042243,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-shuffle,2030,3,False,shuffle_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.6993541667476106,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2026,1,False,zero_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7016892742809343,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2026,2,False,zero_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.5517244719937866,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2026,3,False,zero_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.5716200931485826,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2027,1,False,zero_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.6295620626051349,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2027,2,False,zero_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6052372519928512,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2027,3,False,zero_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.7501493658541984,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2028,1,False,zero_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.6206480810113482,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2028,2,False,zero_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.5331572862306821,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2028,3,False,zero_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.6607505741182599,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2029,1,False,zero_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.6212467402081451,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2029,2,False,zero_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.589692535716665,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2029,3,False,zero_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.6265268134866047,0.46455426610550626
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2030,1,False,zero_eeg_control,349,45,67.20057306590257,11.269295440660967,12.716332378223496,9.893982808022923,0.7094749270075308,0.33186842607261746
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2030,2,False,zero_eeg_control,356,42,79.39044943820225,13.027275570385749,13.646067415730338,10.370786516853933,0.6215005707851661,0.37286286814367764
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-zero,2030,3,False,zero_eeg_control,357,39,91.76470588235294,14.909835012352339,15.252100840336135,11.067226890756302,0.5969371823176284,0.46455426610550626
