score_variant,variant_family,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
pos_rel_f0p80_cap20_base0p025,session_position_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6704456192707695,0.6128005324699786,0.057645086800790946,0.05347677203250878,0.05378503304427984,True
pos_std_rel_fallback0p05,position_context_std_fallback,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6731909967806566,0.6181431912189355,0.055047805561721175,0.04960467790951639,0.06035716771955979,True
pos_std_rel_fallback0p05,position_context_std_fallback,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6731909967806566,0.6313437779747766,0.04184721880588005,0.029450642849266573,0.04498009223835575,True
pos_std_rel_fallback0p05,position_context_std_fallback,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6731909967806566,0.6166111229972636,0.05657987378339302,0.05200445131210918,0.062470821493278095,True
std_rel_f0p70_ref1p0_base0p025,context_std_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6809479011402255,0.602341707955602,0.07860619318462347,0.07592953146415082,0.08877048871787174,True
std_rel_f0p70_ref1p0_base0p025,context_std_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6809479011402255,0.6389717880069858,0.04197611313323968,0.03091289552638865,0.05379042690710811,True
std_rel_f0p70_ref1p0_base0p025,context_std_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6809479011402255,0.6002923128619192,0.08065558827830632,0.0827856583142148,0.09239484041378587,True
std_rel_f0p70_ref1p5_base0p025,context_std_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6803887503324293,0.6030077983044959,0.07738095202793338,0.07427791398818695,0.08387476742402011,True
std_rel_f0p70_ref1p5_base0p025,context_std_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6803887503324293,0.6398742064510523,0.040514543881376985,0.028875141402033067,0.04713118952044948,True
std_rel_f0p70_ref1p5_base0p025,context_std_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6803887503324293,0.6002761442349269,0.08011260609750237,0.08187794968448803,0.08883373366975833,True
