candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,fallback_base_weight,seed_count,mean_reliability,std_reliability,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,pos_std_rel_fallback0p05,False,H2_E0_non_eeg,position_context_std_fallback,0.2,0.025,0.05,5,0.8075788908369044,0.08266029142214128,0.6181431912189355,0.005662765410278496,0.6297959425162282,0.6181431912189355,0.6094657311210956,0.6115118334046906,0.6149788084104371,0.4,0.0
V2H-local-H2_E0,hist_pos_std_rel_fallback0p10,False,H2_E0_non_eeg,history_position_context_std_fallback,0.2,0.025,0.1,5,0.7986037405952202,0.07666666649662691,0.6179885081415697,0.007882763587511088,0.6318503022868271,0.6179885081415697,0.6123118223766626,0.6152356572366493,0.6135726915190276,0.6,0.0
V2H-local-H2_E0,hist_pos_std_rel_fallback0p05,False,H2_E0_non_eeg,history_position_context_std_fallback,0.2,0.025,0.05,5,0.7986037405952202,0.07666666649662691,0.6165016839045532,0.006676268838857595,0.6277274394248923,0.6165016839045532,0.6105010335390091,0.6132674649351236,0.6118672936815421,0.4,0.0
V2H-local-H2_E0,pos_rel_f0p80_cap20_base0p025,False,H2_E0_non_eeg,session_position_reliability,0.2,0.025,0.0,5,0.9208059207821867,0.06409966105015984,0.6160766378092629,0.006537285144501468,0.6278510492367791,0.6160766378092629,0.6035811634961938,0.6042464578337594,0.6181695788884964,0.4,0.0
V2H-local-H2_E0,count_hist_std_rel_fallback0p05,False,H2_E0_non_eeg,count_history_context_std_fallback,0.2,0.025,0.05,5,0.8118525090242592,0.08783981095945788,0.6093794580794182,0.008531566138696673,0.6213003042391865,0.6093794580794182,0.6041656056933331,0.6088687120492676,0.6094080294766266,0.2,0.0
V2H-local-H2_E0,hist_std_rel_fallback0p05,False,H2_E0_non_eeg,history_context_std_fallback,0.2,0.025,0.05,5,0.8487854421655016,0.06503589128110966,0.6090442080360375,0.008194186114989097,0.6207882681944492,0.6090442080360375,0.59980009821332,0.6041041869652981,0.610902132131028,0.2,0.0
V2H-local-H2_E0,hist_rel_f0p70_cap100_base0p025,False,H2_E0_non_eeg,history_reliability,0.2,0.025,0.0,5,0.9359746265075038,0.036634632276576304,0.6068463954241723,0.00805483391771688,0.6189403660547267,0.6068463954241723,0.5984688198482623,0.6039783372491707,0.6106926983780373,0.0,0.0
V2H-local-H2_E0,std_rel_f0p70_ref1p5_base0p025,False,H2_E0_non_eeg,context_std_reliability,0.2,0.025,0.0,5,0.8073396532239558,0.06327571339664317,0.6030077983044959,0.008223491046420442,0.6124847468583893,0.6030077983044959,0.5917920469258844,0.5956532658992977,0.6123171068305756,0.0,0.0
V2H-local-H2_E0,count_std_rel_f0p75_count12_std1p0_base0p025,False,H2_E0_non_eeg,context_count_std_reliability,0.2,0.025,0.0,5,0.8383917361318005,0.08496675707431794,0.6024522553517216,0.008457076517938679,0.6118368106896198,0.6024522553517216,0.5970601371329994,0.6010811218469949,0.6102502938370392,0.0,0.0
V2H-local-H2_E0,hist_rel_f0p80_cap90_base0p025,False,H2_E0_non_eeg,history_reliability,0.2,0.025,0.0,5,0.970536107597131,0.023800399811481146,0.6024506911241676,0.008337598791741733,0.6139790198928302,0.6024506911241676,0.5954715159976288,0.6007705183191294,0.6147211566396644,0.0,0.0
V2H-local-H2_E0,std_rel_f0p70_ref1p0_base0p025,False,H2_E0_non_eeg,context_std_reliability,0.2,0.025,0.0,5,0.8524255924889849,0.07590371773117349,0.602341707955602,0.008554365730999098,0.6116875298234272,0.602341707955602,0.5925451412265532,0.5959490459202761,0.6099158594840283,0.0,0.0
V2H-local-H2_E0,margin_power0p2_base0p025,False,H2_E0_non_eeg,v2s_reference,0.2,0.025,0.0,5,1.0,0.0,0.6014392895115355,0.008154559525529202,0.6105028502735945,0.6014392895115355,0.5922924982388537,0.5964106495356496,0.6186927244999226,0.0,0.0
V2H-local-real,margin_power0p2_base0p025,True,real_eeg,v2s_reference,0.2,0.025,0.0,5,1.0,0.0,0.6813695123598442,0.006656697121739448,0.6876784697797247,0.6813695123598442,0.6716831716777639,0.6749233978103025,0.5907621272844835,1.0,0.0
V2H-local-real,std_rel_f0p70_ref1p0_base0p025,True,real_eeg,context_std_reliability,0.2,0.025,0.0,5,0.9135594954433426,0.0726250813675762,0.6809479011402255,0.005505880361511933,0.687617061287578,0.6809479011402255,0.681315629944425,0.6840658220380442,0.5878444964095941,1.0,0.0
V2H-local-real,count_std_rel_f0p75_count12_std1p0_base0p025,True,real_eeg,context_count_std_reliability,0.2,0.025,0.0,5,0.8874597756050242,0.08863976486108455,0.6807222631689055,0.004985943053440956,0.6868736876798253,0.6807222631689055,0.6883853704668239,0.692548217214884,0.5898633827006785,1.0,0.0
V2H-local-real,std_rel_f0p70_ref1p5_base0p025,True,real_eeg,context_std_reliability,0.2,0.025,0.0,5,0.8622858449018318,0.07412408631484607,0.6803887503324293,0.005348577416391031,0.6867626608465762,0.6803887503324293,0.6756668143499045,0.6790773647648648,0.585911884205764,1.0,0.0
V2H-local-real,count_hist_std_rel_fallback0p05,True,real_eeg,count_history_context_std_fallback,0.2,0.025,0.05,5,0.8593935793611692,0.09132239133512994,0.6790949599303219,0.005004757014787097,0.6815090077661948,0.6790949599303219,0.6865809931158098,0.6901538514395659,0.5890842105734317,1.0,0.0
V2H-local-real,hist_std_rel_fallback0p05,True,real_eeg,history_context_std_fallback,0.2,0.025,0.05,5,0.8981114590620802,0.06225079445689603,0.6784191147816341,0.004422545081717235,0.6816165422273478,0.6784191147816341,0.6779402371660519,0.680484356876222,0.5882595028681793,1.0,0.0
V2H-local-real,hist_rel_f0p70_cap100_base0p025,True,real_eeg,history_reliability,0.2,0.025,0.0,5,0.9359746265075038,0.036634632276576304,0.6755497333177355,0.003217734515107332,0.6823247144307271,0.6755497333177355,0.6673326776470889,0.6710408150785135,0.5883143530399138,1.0,0.0
V2H-local-real,hist_rel_f0p80_cap90_base0p025,True,real_eeg,history_reliability,0.2,0.025,0.0,5,0.970536107597131,0.023800399811481146,0.6748314896947057,0.003933995914268979,0.6811122912840349,0.6748314896947057,0.666550962865984,0.6701118023290642,0.5901017966729947,1.0,0.0
V2H-local-real,hist_pos_std_rel_fallback0p05,True,real_eeg,history_position_context_std_fallback,0.2,0.025,0.05,5,0.8449925412501406,0.07560931391521457,0.673735716168365,0.0071550319128540875,0.6792199049404656,0.673735716168365,0.6733657080379972,0.6740916090816884,0.5896164521759657,1.0,0.0
V2H-local-real,pos_std_rel_fallback0p05,True,real_eeg,position_context_std_fallback,0.2,0.025,0.05,5,0.8544572893296347,0.08257627027025172,0.6731909967806566,0.0068309268168394895,0.6794006204257446,0.6731909967806566,0.6698228988406554,0.6702373126212412,0.5906770322656889,1.0,0.0
V2H-local-real,hist_pos_std_rel_fallback0p10,True,real_eeg,history_position_context_std_fallback,0.2,0.025,0.1,5,0.8449925412501406,0.07560931391521457,0.672964423485278,0.006751691205467654,0.678364098966604,0.672964423485278,0.6730088651656371,0.6734894440876584,0.5908114425619385,1.0,0.0
V2H-local-real,pos_rel_f0p80_cap20_base0p025,True,real_eeg,session_position_reliability,0.2,0.025,0.0,5,0.9208059207821867,0.06409966105015984,0.6704456192707695,0.0059520851189154905,0.677540402576126,0.6704456192707695,0.6552058154229606,0.6541148993936693,0.5904559899486008,1.0,0.0
V2H-local-shuffle,std_rel_f0p70_ref1p5_base0p025,False,shuffle_eeg_control,context_std_reliability,0.2,0.025,0.0,5,0.8304916225175802,0.06789960143754963,0.6398742064510523,0.005367369177323338,0.6578875194445432,0.6398742064510523,0.628535624829455,0.6317155971233352,0.589902115008964,1.0,0.0
