candidate,source,gauc,macro_auc,global_auc,gauc_gap_to_target,macro_auc_gap_to_target,global_auc_gap_to_target,valid_user_count,excluded_user_count
V1-profile-dynamic-gated,pred::V1-profile-dynamic-gated,0.6092353044914687,0.6154886867941626,0.6738239936858721,0.19076469550853137,0.18451131320583747,0.12617600631412795,30,0
V2-average-v1-u2,pred::V2-average-v1-u2,0.5878909838667158,0.5940608930823736,0.675414364640884,0.21210901613328426,0.2059391069176264,0.12458563535911604,30,0
V2-average-v1-top2,pred::V2-average-v1-top2,0.5848412680667009,0.5919620739794847,0.6727584846093133,0.21515873193329915,0.2080379260205153,0.12724151539068673,30,0
V2-weighted-0p50-0p30-0p20,pred::V2-weighted-0p50-0p30-0p20,0.5797273887412964,0.586365902227344,0.6731570639305445,0.22027261125870368,0.21363409777265607,0.12684293606945551,30,0
U2-profile-gated,pred::U2-profile-gated,0.5766123874593819,0.5781861272690373,0.6687726913970008,0.22338761254061812,0.22181387273096276,0.13122730860299925,30,0
V1-profile-dynamic-gated_cross_attention,pred::V1-profile-dynamic-gated_cross_attention,0.5576189252593625,0.5635774559615261,0.6607498026835044,0.24238107474063753,0.23642254403847396,0.13925019731649568,30,0
V2-oof-logistic-blender,pred::V2-oof-logistic-blender,0.5202187226113237,0.5198158697803774,0.5825651144435675,0.2797812773886763,0.28018413021962263,0.21743488555643253,30,0
V2-oof-ridge-blender,pred::V2-oof-ridge-blender,0.4724736300335012,0.4718144634111582,0.4945382794001578,0.32752636996649886,0.32818553658884186,0.3054617205998422,30,0
