candidate,score_variant,uses_eeg,control_type,variant_family,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,agreement_gate0p25_base0p05,False,H2_E0_non_eeg,eeg_base_agreement,5,0.6101452327212286,0.01058280180940616,0.6198039524272201,0.6101452327212286,0.6004053110947958,0.6048812234576124,0.6227755103353634,0.4,0.0
V2H-local-H2_E0,agreement_gate0p10_base0p05,False,H2_E0_non_eeg,eeg_base_agreement,5,0.6022366390626219,0.00875616323902067,0.6100315974804909,0.6022366390626219,0.5914248244764404,0.595554712776935,0.6184637843211083,0.0,0.0
V2H-local-H2_E0,sqrt_margin_eeg_base0p05,False,H2_E0_non_eeg,margin_shrinkage,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,session_z_eeg_base0p10,False,H2_E0_non_eeg,session_block_listwise,5,0.5989256969177402,0.0077734603973646545,0.6062987963953445,0.5989256969177402,0.5938554350402131,0.5978961603872317,0.5769210570128365,0.0,0.0
V2H-local-H2_E0,hist_gate_floor0p25_cap10_base0p05,False,H2_E0_non_eeg,history_reliability,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,hist_gate_floor0p25_cap20_base0p05,False,H2_E0_non_eeg,history_reliability,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,hist_gate_floor0p25_cap5_base0p05,False,H2_E0_non_eeg,history_reliability,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,hist_gate_floor0p50_cap10_base0p05,False,H2_E0_non_eeg,history_reliability,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,v2n_eeg_base_0p05,False,H2_E0_non_eeg,v2n_reference,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,session_z_eeg_base0p05,False,H2_E0_non_eeg,session_block_listwise,5,0.5977176931533142,0.006728492609444347,0.6036909369440329,0.5977176931533142,0.5913980184822624,0.594737883478955,0.5756365726557006,0.0,0.0
V2H-local-H2_E0,session_rank_eeg_base0p05,False,H2_E0_non_eeg,session_block_listwise,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.5907599384192967,0.5941583592407005,0.5716213427995634,0.0,0.0
