score_variant,variant_family,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
agreement_gate0p10_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6750485355345794,0.6022366390626219,0.07281189647195752,0.06892881385129468,0.07301615166027298,True
agreement_gate0p10_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6750485355345794,0.6337159698341805,0.04133256570039889,0.03406697502403688,0.03638467617300234,True
agreement_gate0p10_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6750485355345794,0.5984890797394773,0.07655945579510215,0.07861164950424249,0.07911758667079094,True
agreement_gate0p25_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.672101077369759,0.6101452327212286,0.061955844648530434,0.05724361382576326,0.06136836045878036,True
agreement_gate0p25_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.672101077369759,0.6369377843687852,0.03516329300097376,0.02620689587875935,0.028733392705508787,True
agreement_gate0p25_base0p05,eeg_base_agreement,V2H-local-real,V2H-local-zero,zero_eeg_control,0.672101077369759,0.6059840797713548,0.06611699759840417,0.06693053412374228,0.06945981013922287,True
eeg_only,baseline,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
eeg_only,baseline,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
eeg_only,baseline,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
hist_gate_floor0p25_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
hist_gate_floor0p25_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
hist_gate_floor0p25_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
hist_gate_floor0p25_cap20_base0p05,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
hist_gate_floor0p25_cap20_base0p05,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
hist_gate_floor0p25_cap20_base0p05,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
hist_gate_floor0p25_cap5_base0p05,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
hist_gate_floor0p25_cap5_base0p05,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
hist_gate_floor0p25_cap5_base0p05,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
hist_gate_floor0p50_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
hist_gate_floor0p50_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
hist_gate_floor0p50_cap10_base0p05,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
session_rank_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.07590787332756643,True
session_rank_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.032008816321357325,True
session_rank_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08446793228237137,True
session_rank_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6754126014665979,0.596555943449393,0.07885665801720487,0.07537855296967988,0.07577162524454295,True
session_rank_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6754126014665979,0.6329391788788852,0.042473422587712695,0.031712846470190126,0.030757872049710366,True
session_rank_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6754126014665979,0.5939005423841665,0.08151205908243142,0.08248966815769998,0.08432540367743113,True
session_z_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6754215074320085,0.5977176931533142,0.07770381427869422,0.07631923202339608,0.07664829511592475,True
session_z_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6754215074320085,0.6336952184899702,0.041726288942038225,0.03312907900179385,0.027800077150505476,True
session_z_eeg_base0p05,session_block_listwise,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6754215074320085,0.5955756564974084,0.07984585093460006,0.08299748541630514,0.08227716060184131,True
session_z_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6752308792456361,0.5989256969177402,0.07630518232789585,0.0748754987188126,0.07356022894737868,True
session_z_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6752308792456361,0.6344746622071602,0.04075621703847587,0.033962302952540546,0.026919604795469065,True
session_z_eeg_base0p10,session_block_listwise,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6752308792456361,0.5972162284877319,0.07801465075790415,0.08277696997250172,0.08003087933895814,True
sqrt_margin_eeg_base0p05,margin_shrinkage,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6772939977796371,0.5997888292802048,0.07750516849943223,0.07887085264227878,0.08059636522312974,True
sqrt_margin_eeg_base0p05,margin_shrinkage,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6772939977796371,0.6366148825798872,0.04067911519974987,0.0343683101397978,0.03557770695601259,True
sqrt_margin_eeg_base0p05,margin_shrinkage,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6772939977796371,0.5974382586040299,0.07985573917560718,0.08668490733756085,0.0848835702416405,True
v2n_eeg_base_0p05,v2n_reference,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
v2n_eeg_base_0p05,v2n_reference,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
v2n_eeg_base_0p05,v2n_reference,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
