phase,protocol_id,fold,seed,valid_context_count,mean_context_event_count,mean_context_pair_count,mean_history_count_std_within_context,mean_history_reliability_std_within_context,mean_eeg_score_std_within_context,mean_base_logit_std_within_context,constant_user_weight_affects_protocol_auc
V2-O,V2M-two_stage_user_local_reranker-v1,1,2026,35,8.82857142857143,17.085714285714285,2.5276886499415046,0.0,1.0211048447849371,0.33719407174920296,False
V2-O,V2M-two_stage_user_local_reranker-v1,2,2026,30,10.033333333333333,19.466666666666665,2.879696550161773,0.0,0.996617171994048,0.38405266831280593,False
V2-O,V2M-two_stage_user_local_reranker-v1,3,2026,28,10.107142857142858,22.071428571428573,2.899538627144775,0.0,0.9184704537269297,0.4438639343745545,False
V2-O,V2M-two_stage_user_local_reranker-v1,1,2027,35,8.82857142857143,17.085714285714285,2.5276886499415046,0.0,1.0184957919090503,0.33719407174920296,False
V2-O,V2M-two_stage_user_local_reranker-v1,2,2027,30,10.033333333333333,19.466666666666665,2.879696550161773,0.0,0.9207594603938726,0.38405266831280593,False
V2-O,V2M-two_stage_user_local_reranker-v1,3,2027,28,10.107142857142858,22.071428571428573,2.899538627144775,0.0,0.8994517150829491,0.4438639343745545,False
V2-O,V2M-two_stage_user_local_reranker-v1,1,2028,35,8.82857142857143,17.085714285714285,2.5276886499415046,0.0,0.9620547100774967,0.33719407174920296,False
V2-O,V2M-two_stage_user_local_reranker-v1,2,2028,30,10.033333333333333,19.466666666666665,2.879696550161773,0.0,0.8970868305667669,0.38405266831280593,False
V2-O,V2M-two_stage_user_local_reranker-v1,3,2028,28,10.107142857142858,22.071428571428573,2.899538627144775,0.0,0.7264112913700032,0.4438639343745545,False
V2-O,V2M-two_stage_user_local_reranker-v1,1,2029,35,8.82857142857143,17.085714285714285,2.5276886499415046,0.0,1.0422362711390616,0.33719407174920296,False
V2-O,V2M-two_stage_user_local_reranker-v1,2,2029,30,10.033333333333333,19.466666666666665,2.879696550161773,0.0,0.9251314816807449,0.38405266831280593,False
V2-O,V2M-two_stage_user_local_reranker-v1,3,2029,28,10.107142857142858,22.071428571428573,2.899538627144775,0.0,0.8068806090558874,0.4438639343745545,False
V2-O,V2M-two_stage_user_local_reranker-v1,1,2030,35,8.82857142857143,17.085714285714285,2.5276886499415046,0.0,0.9778294421867815,0.33719407174920296,False
V2-O,V2M-two_stage_user_local_reranker-v1,2,2030,30,10.033333333333333,19.466666666666665,2.879696550161773,0.0,1.0161326665857975,0.38405266831280593,False
V2-O,V2M-two_stage_user_local_reranker-v1,3,2030,28,10.107142857142858,22.071428571428573,2.899538627144775,0.0,0.8634005401287675,0.4438639343745545,False
