model,run_count,gauc_mean,gauc_std,auc_mean,logloss_mean,brier_mean,ece_mean,correction_abs_mean,base_gauc_mean,eeg_gradient_mean,zero_sensitivity_mean,shuffle_sensitivity_mean
band-region-bilinear,9,0.6112646420433888,0.0173606687373973,0.6203374944758439,0.6367737791858122,0.21727984662371058,0.06456704780191141,0.17720231294838917,0.5999792017484886,0.15712055288666632,0.0368763324295287,0.023284082070151473
pca16-bilinear,9,0.6069018241560062,0.019724102375879737,0.6152100141390702,0.6395750954806165,0.21867721701359777,0.06318034803006281,0.10504847379666495,0.5999792017484886,0.07625832935871853,0.020719649495832628,0.009370265553217096
