model,run_count,gauc_mean,gauc_std,auc_mean,logloss_mean,brier_mean,ece_mean,correction_abs_mean,base_gauc_mean,eeg_gradient_mean,zero_sensitivity_mean,shuffle_sensitivity_mean
band_region-bilinear-aux0,9,0.6112646420433888,0.0173606687373973,0.6203374944758439,0.6367737791858122,0.21727984662371058,0.06456704780191141,0.17720231294838917,0.5999792017484886,0.15712055288666632,0.0368763324295287,0.023284082070151473
band_region-hybrid-aux0,9,0.6031576160433404,0.016232191833889492,0.6192173452478227,0.6362213423419274,0.21689331544640664,0.06263623787544159,0.18150971899255333,0.5989962007802521,0.16503064024883266,0.03750952613174579,0.022419196830014698
band_region-hybrid-aux01,9,0.602418934302488,0.018510176063690632,0.6065240605931719,0.6410455842827433,0.21928727897049372,0.05095481254702299,0.0572085864292199,0.5989962007802521,0.04684562998155292,0.011854202895645156,0.003906446524221489
band_region-hybrid-aux005,9,0.6002525670646034,0.016922041013277024,0.6008340425912096,0.6448467675745728,0.22098811700311688,0.05764118264756547,0.024041068319800414,0.5989962007802521,0.027910413829837,0.005031444273804987,0.001235543807120444
