phase,split_version,config_id,fold,seed,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,alignment_train_only,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p5,0.6086026577071354,0.6069565553494124,0.5997223186393613,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_alpha_2p0,0.6086026577071354,0.6069565553494124,0.6153418951752864,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.6086026577071354,0.6069565553494124,0.6124609510586602,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.6086026577071354,0.6069565553494124,0.6654980909406456,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.6086026577071354,0.6069565553494124,0.6860118014578271,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.6086026577071354,0.6069565553494124,0.6852481777160708,28,0.6421404682274248,0.6421404682274248,0.6213217338217338,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,raw,0.639688031702957,0.6361615946883805,0.4082610204790003,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,fold_train_zscore,0.639688031702957,0.6361615946883805,0.4082610204790003,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_train_center,0.639688031702957,0.6361615946883805,0.5301284276292954,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_train_zscore,0.639688031702957,0.6361615946883805,0.5339118361679972,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_0p5,0.639688031702957,0.6361615946883805,0.43019784796945504,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p0,0.639688031702957,0.6361615946883805,0.5301284276292954,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p5,0.639688031702957,0.6361615946883805,0.5957653592502603,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_2p0,0.639688031702957,0.6361615946883805,0.6040263797292607,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.639688031702957,0.6361615946883805,0.5952794168691427,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.639688031702957,0.6361615946883805,0.6396390142311696,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.639688031702957,0.6361615946883805,0.6651856994099272,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.639688031702957,0.6361615946883805,0.6744186046511629,28,0.6471571906354515,0.6471571906354515,0.6583379847665564,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,raw,0.7075219142383321,0.7063942357245928,0.42037486983686223,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,fold_train_zscore,0.7075219142383321,0.7063942357245928,0.42037486983686223,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_train_center,0.7075219142383321,0.7063942357245928,0.5280458174245054,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_train_zscore,0.7075219142383321,0.7063942357245928,0.5320721971537661,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_alpha_0p5,0.7075219142383321,0.7063942357245928,0.4383547379382159,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_alpha_1p0,0.7075219142383321,0.7063942357245928,0.5280458174245054,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
