phase,protocol_id,fold,seed,reference_variant,selected_variant,reference_protocol_gauc,selected_protocol_gauc,delta_protocol_gauc,reference_macro_user_auc,selected_macro_user_auc,delta_macro_user_auc,reference_event_transfer_gauc,selected_event_transfer_gauc,delta_event_transfer_gauc,selected_beats_v2p_protocol
V2-Q,V2M-two_stage_user_local_reranker-v1,1,2026,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.7140468227424749,0.7107023411371237,-0.0033444816053511683,0.7250724407867264,0.7107907965050824,-0.014281644281644024,0.7078570351704679,0.7028853567659538,-0.004971678404514179,False
V2-Q,V2M-two_stage_user_local_reranker-v1,1,2027,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.7307692307692307,0.725752508361204,-0.0050167224080267525,0.756751443001443,0.7257447909233623,-0.031006652078080732,0.7299432491223535,0.7124315651181322,-0.017511684004221317,False
V2-Q,V2M-two_stage_user_local_reranker-v1,1,2028,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.7274247491638796,0.7307692307692307,0.0033444816053511683,0.764613309970453,0.7563990242561672,-0.00821428571428573,0.7270246171738709,0.7207250543817708,-0.0062995627921000885,True
V2-Q,V2M-two_stage_user_local_reranker-v1,1,2029,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.7090301003344481,0.7090301003344481,0.0,0.7380741943241944,0.7133018238375382,-0.02477237048665626,0.712492408089423,0.7068192586849305,-0.0056731494044925945,False
V2-Q,V2M-two_stage_user_local_reranker-v1,1,2030,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.7224080267558528,0.7240802675585284,0.0016722408026755842,0.7478029774458347,0.7294994060172632,-0.01830357142857153,0.724132799207426,0.7253491201998665,0.0012163209924405116,True
V2-Q,V2M-two_stage_user_local_reranker-v1,2,2026,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6318493150684932,0.6472602739726028,0.015410958904109595,0.6263493450993451,0.640434102934103,0.014084757834757822,0.6050795905483406,0.6182405528499278,0.013160962301587253,True
V2-Q,V2M-two_stage_user_local_reranker-v1,2,2027,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6352739726027398,0.6455479452054794,0.010273972602739656,0.6183836996336998,0.6332697395197395,0.01488603988603976,0.6014397321428572,0.6149853445165945,0.013545612373737304,True
V2-Q,V2M-two_stage_user_local_reranker-v1,2,2028,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.660958904109589,0.6695205479452054,0.008561643835616417,0.6485169922669924,0.6531135531135531,0.004596560846560682,0.6278624413780663,0.6303597357503608,0.0024972943722944008,True
V2-Q,V2M-two_stage_user_local_reranker-v1,2,2029,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.666095890410959,0.672945205479452,0.006849315068493067,0.6418303918303919,0.6505529193029194,0.008722527472527442,0.6120297844516595,0.6189495400432901,0.006919755591630605,True
V2-Q,V2M-two_stage_user_local_reranker-v1,2,2030,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6541095890410958,0.648972602739726,-0.005136986301369828,0.6383581696081696,0.6233729233729234,-0.014985246235246219,0.6180452967171717,0.6112286931818182,-0.006816603535353516,False
V2-Q,V2M-two_stage_user_local_reranker-v1,3,2026,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6682847896440129,0.6634304207119741,-0.004854368932038833,0.6916708290157078,0.6866898538815462,-0.004980975134161514,0.6843122495220397,0.6821613700984331,-0.0021508794236065887,False
V2-Q,V2M-two_stage_user_local_reranker-v1,3,2027,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6456310679611651,0.6585760517799353,0.012944983818770184,0.6702023438330199,0.6846488636468641,0.01444651981384415,0.663326630634323,0.6766964678677966,0.013369837233473625,True
V2-Q,V2M-two_stage_user_local_reranker-v1,3,2028,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6601941747572816,0.656957928802589,-0.003236245954692629,0.6687560110681563,0.672728658790804,0.003972647722647715,0.6731802094564332,0.6749415696968144,0.0017613602403812045,False
V2-Q,V2M-two_stage_user_local_reranker-v1,3,2029,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6844660194174758,0.6828478964401294,-0.0016181229773463146,0.7023333012243939,0.7021842873281212,-0.00014901389627264283,0.6964913194808299,0.7009259000517741,0.004434580570944258,False
V2-Q,V2M-two_stage_user_local_reranker-v1,3,2030,sqrt_margin_eeg_base0p05,margin_power0p25_base0p05,0.6488673139158576,0.6472491909385113,-0.0016181229773463146,0.6687738210230793,0.6744879105147423,0.005714089491663077,0.6693282533317498,0.6727314546370491,0.0034032013052992527,False
