suite,model,run_count,gauc_mean,gauc_std,auc_mean,logloss_mean,brier_mean,ece_mean
ablation,ablation-E0,15,0.6056863493348367,0.016357690176841116,0.6092234649065194,0.6421858865247959,0.22005294836092343,0.06049977382476764
ablation,ablation-E5,15,0.6039745539071288,0.019005317759740816,0.6273287447364614,0.6336219466645897,0.21580477868939454,0.05455597772300369
ablation,ablation-E7,15,0.6019184120670086,0.0173775280148612,0.6661996749668567,0.6214033840234546,0.2091290368576883,0.06074711162854909
ablation,ablation-E1,15,0.6018056313102809,0.017136171815853994,0.6660840701486802,0.6185971976805481,0.20838746124895327,0.0597856272541023
ablation,ablation-E6,15,0.5998812518374509,0.012686787984448486,0.6049439442628088,0.6420721235424737,0.21976418761329547,0.05631619323838708
ablation,ablation-E3,15,0.5978481433953658,0.012340456696131425,0.5897914262221814,0.6476005038679524,0.22222305464736464,0.05542669266161271
ablation,ablation-E2,15,0.596337098971212,0.011195652442107469,0.6489645478243348,0.6246855057120989,0.21074731894308732,0.051914176263250705
ablation,ablation-E4,15,0.5959296038330522,0.013913498339888782,0.6406079923129198,0.6285198167966218,0.21248342600828343,0.05535287534982679
ablation,ablation-E8,15,0.595104078190041,0.009664876095645314,0.5916207914577921,0.6450432961097902,0.22120391249002416,0.05341107074266308
