fold,model,seed_count,train_count,dev_count,gauc_mean,gauc_std,gauc_ensemble,seeds_not_below_anchor,auc_mean,ece_mean
1,H0-anchor-only,5,1786,349,0.5631709418276584,0.0,0.5631709418276584,5,0.5386324192988545,0.0957644867862876
1,H2-history-behavior,5,1786,349,0.5908283689776228,0.015105093554129987,0.5832226314315868,5,0.5795348837209302,0.09356026648834646
2,H0-anchor-only,5,2135,356,0.5805096726190476,0.0,0.5805096726190476,5,0.5439330543933054,0.04943113696102179
2,H2-history-behavior,5,2135,356,0.6179863140331892,0.011350448055883438,0.6306066242784992,5,0.6140971998712585,0.05135602650580551
3,H0-anchor-only,5,2491,357,0.5853747553922379,0.0,0.5853747553922379,5,0.5792133597011646,0.022381527470987792
3,H2-history-behavior,5,2491,357,0.605701613848467,0.023684908230017523,0.6117216796412601,5,0.626441075221563,0.02953632414107703
