experiment_id,fold,model,seed,train_count,dev_count,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
MRCV_f1_H0_s0,1,H0-anchor-only,0,1786,349,0,0,0.5631709418276584,0.560276059918917,0.5386324192988545,0.6843130866846584,0.24484584019694652,0.0957644867862876,1.523069143295288
MRCV_f1_H0_s1,1,H0-anchor-only,1,1786,349,0,0,0.5631709418276584,0.560276059918917,0.5386324192988545,0.6843130866846584,0.24484584019694652,0.0957644867862876,0.15758800506591797
MRCV_f1_H0_s2,1,H0-anchor-only,2,1786,349,0,0,0.5631709418276584,0.560276059918917,0.5386324192988545,0.6843130866846584,0.24484584019694652,0.0957644867862876,0.13875603675842285
MRCV_f1_H0_s3,1,H0-anchor-only,3,1786,349,0,0,0.5631709418276584,0.560276059918917,0.5386324192988545,0.6843130866846584,0.24484584019694652,0.0957644867862876,0.17512965202331543
MRCV_f1_H0_s4,1,H0-anchor-only,4,1786,349,0,0,0.5631709418276584,0.560276059918917,0.5386324192988545,0.6843130866846584,0.24484584019694652,0.0957644867862876,0.17096352577209473
MRCV_f1_H2_s0,1,H2-history-behavior,0,1786,349,1513,34,0.6079879821670867,0.5963846371882086,0.6429364803887538,0.6460552980053597,0.227176625252165,0.06773082870338913,8.872386455535889
MRCV_f1_H2_s1,1,H2-history-behavior,1,1786,349,1513,13,0.5945707609140446,0.5900517075517077,0.5813606386671294,0.6734083486321016,0.2401649025003461,0.10548891238121046,3.0803608894348145
MRCV_f1_H2_s2,1,H2-history-behavior,2,1786,349,1513,6,0.5736625314983526,0.5715477908335052,0.546858729607775,0.6782953013942096,0.24239736829052003,0.09461754611706666,2.7113680839538574
MRCV_f1_H2_s3,1,H2-history-behavior,3,1786,349,1513,10,0.6012597187224054,0.5999884903456332,0.5773342589378688,0.6794503893933282,0.24278287299563717,0.10676103527190692,3.0015368461608887
MRCV_f1_H2_s4,1,H2-history-behavior,4,1786,349,1513,7,0.5766608515862248,0.5758371126228271,0.5491843110031239,0.6777356043330076,0.24214680961464907,0.09320300996815915,2.9105045795440674
MRCV_f2_H0_s0,2,H0-anchor-only,0,2135,356,0,0,0.5805096726190476,0.5833057220557221,0.5439330543933054,0.6322191304761748,0.22052195449823703,0.04943113696102179,0.16223645210266113
MRCV_f2_H0_s1,2,H0-anchor-only,1,2135,356,0,0,0.5805096726190476,0.5833057220557221,0.5439330543933054,0.6322191304761748,0.22052195449823703,0.04943113696102179,0.27636218070983887
MRCV_f2_H0_s2,2,H0-anchor-only,2,2135,356,0,0,0.5805096726190476,0.5833057220557221,0.5439330543933054,0.6322191304761748,0.22052195449823703,0.04943113696102179,0.1176447868347168
MRCV_f2_H0_s3,2,H0-anchor-only,3,2135,356,0,0,0.5805096726190476,0.5833057220557221,0.5439330543933054,0.6322191304761748,0.22052195449823703,0.04943113696102179,0.12554192543029785
MRCV_f2_H0_s4,2,H0-anchor-only,4,2135,356,0,0,0.5805096726190476,0.5833057220557221,0.5439330543933054,0.6322191304761748,0.22052195449823703,0.04943113696102179,0.10891556739807129
MRCV_f2_H2_s0,2,H2-history-behavior,0,2135,356,1513,7,0.5995123106060606,0.6032598882598883,0.5938561670779243,0.6252541682859881,0.21758896904635078,0.03279801219403533,2.627786874771118
MRCV_f2_H2_s1,2,H2-history-behavior,1,2135,356,1513,22,0.6294098349567099,0.631452343952344,0.6630189893788221,0.5974215201070889,0.20644665657876043,0.05495766984832504,4.679031848907471
MRCV_f2_H2_s2,2,H2-history-behavior,2,2135,356,1513,11,0.616158346861472,0.6154584304584305,0.5838071737653328,0.6217819006738606,0.21643757744543027,0.038646882301159854,2.9694674015045166
MRCV_f2_H2_s3,2,H2-history-behavior,3,2135,356,1513,19,0.623054090007215,0.6243226218226219,0.6497156957408003,0.6171656147181698,0.21415458123334938,0.07006898071888958,5.082270622253418
MRCV_f2_H2_s4,2,H2-history-behavior,4,2135,356,1513,13,0.6217969877344878,0.6241270303770304,0.5800879733934128,0.6233244056653866,0.2170641311205982,0.060308587466617755,3.704742193222046
MRCV_f3_H0_s0,3,H0-anchor-only,0,2491,357,0,0,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667516956374,0.2124002525299956,0.022381527470987792,0.10024714469909668
