experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
V_V1_f1_V1-profile-gated_cross_attention_s0,V1,1,V1-profile-gated_cross_attention,0,19595,1513,18001,0.6028555275570201,0.5933319805194806,0.6256508156889968,0.6443833615472252,0.22658096973673444,0.02873017120156384,0.6024564407400228,0.6559405688412039,0.2319500824143958,0.06613263935530088,0.6012670414162953,0.6032914432168164,0.0003990868169972961,0.0015884861407248207,-0.0004359156597962821,0.03510608896613121,0.004915003199130297,0.037557605654001236,0.1694086492061615,0.17770063460182162,29,4,24.946290731430054,False
V_V1_f1_V1-profile-gated_cross_attention_s1,V1,1,V1-profile-gated_cross_attention,1,19595,1513,18001,0.6180420408778617,0.6155642092695663,0.6416869142658799,0.6384736871634731,0.22381020841103805,0.05311435763123724,0.6011534319743276,0.6664205173121944,0.23709957846690427,0.09875835054441257,0.6185408455557708,0.6027053046456032,0.016888608903534164,-0.0004988046779090816,0.015336736232258508,0.11017275601625443,0.02941422536969185,0.11703753471374512,0.522747814655304,0.30361634035936796,16,8,21.06761145591736,False
V_V1_f1_V1-profile-gated_cross_attention_s2,V1,1,V1-profile-gated_cross_attention,2,19595,1513,18001,0.573459972862958,0.5709950697450697,0.5471711211384936,0.6782179825301045,0.2423694615592144,0.09465432743459172,0.5730157653291982,0.6785852576806402,0.24253142736395375,0.09493211289398282,0.573459972862958,0.573459972862958,0.0004442075337598439,0.0,0.0,0.0007278186385519803,0.00018662183720152825,0.0008387963753193617,0.0038675148971378803,0.0037229823912342144,6,2,14.032775640487671,False
V_V1_f2_V1-profile-gated_cross_attention_s0,V1,2,V1-profile-gated_cross_attention,0,19595,1513,18001,0.5952984081890331,0.6011468623968624,0.6121303150591852,0.6229085036564682,0.21653422462780145,0.04299325818978143,0.5952984081890331,0.6229723485048331,0.21656320274772167,0.043016114815449424,0.5952984081890331,0.5952984081890331,0.0,0.0,0.0,9.299632802139968e-05,3.993976497440599e-05,0.00010694248339859769,0.00047674335655756295,0.002167390791890193,9,1,17.63457155227661,False
V_V1_f2_V1-profile-gated_cross_attention_s1,V1,2,V1-profile-gated_cross_attention,1,19595,1513,18001,0.6400834235209235,0.6415538165538165,0.6454243106962773,0.6045732922623488,0.20930032811363153,0.04359615058114941,0.6307567866161616,0.6112069013693662,0.21219606995778167,0.062168900149438225,0.6397486020923522,0.6309688401875901,0.009326636904761876,0.00033482142857133024,0.00911458333333337,0.016577471047639847,0.0023106446024030447,0.018299739807844162,0.08464732021093369,0.03622511513037469,16,3,22.020341873168945,False
V_V1_f2_V1-profile-gated_cross_attention_s2,V1,2,V1-profile-gated_cross_attention,2,19595,1513,18001,0.6336157332251082,0.6325750638250638,0.7393341200872581,0.5642435763809462,0.1916770090627679,0.07256329921859034,0.6120398178210679,0.621226994287103,0.21626787665998545,0.04601729456348319,0.6270858134920635,0.6195271915584416,0.021575915404040358,0.006529919733044731,0.01408854166666662,0.10653767734766006,0.03518668934702873,0.11044954508543015,0.5078761577606201,0.17328074284722778,12,10,22.12853455543518,False
V_V1_f3_V1-profile-gated_cross_attention_s0,V1,3,V1-profile-gated_cross_attention,0,19595,1513,18001,0.5925134888421602,0.6103037394704062,0.6106350252691717,0.6500853098233467,0.21088356901501462,0.047754015879517234,0.5925134888421602,0.6504042951046225,0.2110263135039163,0.051607272997198854,0.5925134888421602,0.5925134888421602,0.0,0.0,0.0,0.000664147490169853,0.00017071154434233904,0.0006736018694937229,0.003076454857364297,0.01988853270947291,6,1,16.35330629348755,False
V_V1_f3_V1-profile-gated_cross_attention_s1,V1,3,V1-profile-gated_cross_attention,1,19595,1513,18001,0.5915889083721251,0.6088345335220335,0.6835860250494397,0.6167408880119994,0.19552648438918252,0.05156023152523657,0.5853747553922379,0.6534650880356243,0.21239957828345846,0.0223975065098039,0.5669262458598122,0.5831445749277917,0.006214152979887144,0.02466266251231286,0.008444333444333374,0.10934644937515259,0.05026355758309364,0.10957490652799606,0.5561767220497131,0.22629472746720536,1,6,14.051331758499146,False
V_V1_f3_V1-profile-gated_cross_attention_s2,V1,3,V1-profile-gated_cross_attention,2,19595,1513,18001,0.6143407194980621,0.6028804066304067,0.7094411484655386,0.6039970906117428,0.18994163219551902,0.04723041635222102,0.5881007298839467,0.653205148551851,0.21228985167511563,0.023470457703081173,0.5826798783966616,0.5827500199877822,0.026239989614115444,0.03166084110140055,0.03159069951027993,0.12265405803918839,0.06551384925842285,0.12367759644985199,0.5899978280067444,0.2715676739657676,3,9,17.936375856399536,False
V_V1_f1_V1-profile-dynamic-gated_s0,V1,1,V1-profile-dynamic-gated,0,43451,1513,41857,0.6040518188279383,0.5947200534254106,0.6015272474835126,0.6630941698973647,0.2353639779397483,0.07089900831694591,0.6030283646701557,0.6632746718066845,0.2354445684569853,0.07119702577363898,0.6048513923887058,0.6030283646701557,0.0010234541577825995,-0.0007995735607674304,0.0010234541577825995,0.000205892589292489,5.5000527936499566e-05,0.00034448198857717216,0.0016062428476288915,0.004018765526370908,24,1,30.722655773162842,False
V_V1_f1_V1-profile-dynamic-gated_s1,V1,1,V1-profile-dynamic-gated,1,43451,1513,41857,0.6139685770282786,0.6077071523053664,0.6485942381117668,0.6361197999495178,0.22273490993880163,0.06883431902758375,0.6000696732786286,0.6665606067167571,0.2371174952680264,0.08948146181948428,0.6283166418987315,0.5992783915918245,0.013898903749649971,-0.014348064870452926,0.014690185436454062,0.0830029845237732,0.043521568179130554,0.11742517352104187,0.5155035853385925,0.19884778863059827,16,8,27.57670521736145,False
V_V1_f1_V1-profile-dynamic-gated_s2,V1,1,V1-profile-dynamic-gated,2,43451,1513,41857,0.5743545260709441,0.5725473270116127,0.5519264144394307,0.6748333253457133,0.2409440030335365,0.09122630919631365,0.5743545260709441,0.6748749235182913,0.2409632055712329,0.09122801495702006,0.5743545260709441,0.5743545260709441,0.0,0.0,0.0,9.951695392373949e-05,3.3137832360807806e-05,0.00010425595246488228,0.00047155923675745726,0.01019092877916214,7,1,14.811659336090088,False
V_V1_f2_V1-profile-dynamic-gated_s0,V1,2,V1-profile-dynamic-gated,0,43451,1513,41857,0.6046909947691198,0.6095441595441595,0.6354468404677609,0.6140097583875138,0.21259595108346094,0.03537348382242986,0.5953059613997114,0.6249449972701255,0.21744742265128356,0.034757856185112304,0.5951011228354979,0.5892419733044734,0.009385033369408435,0.00958987193362193,0.01544902146464644,0.018823377788066864,0.008780018426477909,0.02001243643462658,0.09109005331993103,0.45699124704500305,7,4,20.097289562225342,False
V_V1_f2_V1-profile-dynamic-gated_s1,V1,2,V1-profile-dynamic-gated,1,43451,1513,41857,0.658768713924964,0.6592460779960779,0.7242427493473518,0.5681261315919243,0.19457427279101278,0.05858776653891827,0.627601911976912,0.6075927031146601,0.21074441790199017,0.05794297996994387,0.6171477047258297,0.5949160128066378,0.031166801948051992,0.04162100919913425,0.0638527011183262,0.1533721685409546,0.0794098898768425,0.11593840271234512,0.5655855536460876,0.26713665744095055,18,11,35.65186953544617,False
V_V1_f2_V1-profile-dynamic-gated_s2,V1,2,V1-profile-dynamic-gated,2,43451,1513,41857,0.6338281250000001,0.6347195397195396,0.6601580660158066,0.5953029476472548,0.2055905903416017,0.05819062083263705,0.614542297979798,0.6239246472611405,0.21723240666851434,0.05055677162724717,0.6075524215367964,0.6139028679653679,0.019285827020202095,0.026275703463203626,0.019925257034632216,0.05302643030881882,0.019873512908816338,0.05169881880283356,0.24526675045490265,0.17589121619487869,8,5,22.70482301712036,False
V_V1_f3_V1-profile-dynamic-gated_s0,V1,3,V1-profile-dynamic-gated,0,43451,1513,41857,0.6342620471991102,0.6494311706811707,0.6828169633047683,0.6131216310498832,0.19409086294833203,0.06559717426818933,0.5908463428568322,0.6509923026977237,0.2113054971214766,0.035318106330532215,0.5784196378601973,0.5813233386659961,0.04341570434227793,0.055842409338912824,0.05293870853311411,0.11304301023483276,0.058389972895383835,0.11081629246473312,0.5451375246047974,0.16574167707946375,5,7,25.326242446899414,False
