phase,protocol_id,iteration,selected_variant,reference_variant,weighted_delta_context_auc
V2-T,V2M-two_stage_user_local_reranker-v1,183,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0009885764499121285
V2-T,V2M-two_stage_user_local_reranker-v1,184,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0009209163117301646
V2-T,V2M-two_stage_user_local_reranker-v1,185,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0025785278949835935
V2-T,V2M-two_stage_user_local_reranker-v1,186,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0040194884287454375
V2-T,V2M-two_stage_user_local_reranker-v1,187,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018700327255726991
V2-T,V2M-two_stage_user_local_reranker-v1,188,margin_power0p2_base0p025,margin_power0p25_base0p05,0.000783348254252463
V2-T,V2M-two_stage_user_local_reranker-v1,189,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00033141847105611706
V2-T,V2M-two_stage_user_local_reranker-v1,190,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0029308984330966106
V2-T,V2M-two_stage_user_local_reranker-v1,191,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002229062732194037
V2-T,V2M-two_stage_user_local_reranker-v1,192,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0033259423503325964
V2-T,V2M-two_stage_user_local_reranker-v1,193,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0032044198895027644
V2-T,V2M-two_stage_user_local_reranker-v1,194,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002558362647905345
V2-T,V2M-two_stage_user_local_reranker-v1,195,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004213327419891344
V2-T,V2M-two_stage_user_local_reranker-v1,196,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0006887842957180552
V2-T,V2M-two_stage_user_local_reranker-v1,197,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001606610052788618
V2-T,V2M-two_stage_user_local_reranker-v1,198,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0015138408304498309
V2-T,V2M-two_stage_user_local_reranker-v1,199,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0026862882504087855
V2-T,V2M-two_stage_user_local_reranker-v1,200,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0011917659804983746
V2-T,V2M-two_stage_user_local_reranker-v1,201,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0010075002798611936
V2-T,V2M-two_stage_user_local_reranker-v1,202,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0017498833411105934
V2-T,V2M-two_stage_user_local_reranker-v1,203,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00021889022655138574
V2-T,V2M-two_stage_user_local_reranker-v1,204,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001059322033898309
V2-T,V2M-two_stage_user_local_reranker-v1,205,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019580741764570375
V2-T,V2M-two_stage_user_local_reranker-v1,206,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0030945558739255054
V2-T,V2M-two_stage_user_local_reranker-v1,207,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003527939000796635
V2-T,V2M-two_stage_user_local_reranker-v1,208,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0034890264490714694
V2-T,V2M-two_stage_user_local_reranker-v1,209,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014465338822743975
V2-T,V2M-two_stage_user_local_reranker-v1,210,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00022686025408348744
V2-T,V2M-two_stage_user_local_reranker-v1,211,margin_power0p2_base0p025,margin_power0p25_base0p05,4.783908517752222e-18
V2-T,V2M-two_stage_user_local_reranker-v1,212,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001418130249809101
V2-T,V2M-two_stage_user_local_reranker-v1,213,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0011328877308258753
V2-T,V2M-two_stage_user_local_reranker-v1,214,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006891798759476234
V2-T,V2M-two_stage_user_local_reranker-v1,215,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0015526228235555064
V2-T,V2M-two_stage_user_local_reranker-v1,216,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004168037731709998
V2-T,V2M-two_stage_user_local_reranker-v1,217,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0028790786948176615
V2-T,V2M-two_stage_user_local_reranker-v1,218,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002426623526692863
