experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
V_V2C_f1_V2C-gated_cross_attention-pairwise-0p05_s0,V2C,1,V2C-gated_cross_attention-pairwise-0p05,0,43451,1513,41857,0.6052091275225604,0.5945785662749948,0.6377646650468587,0.6494238340639785,0.22857892561034127,0.07057391342981839,0.6052091275225604,0.6494833100615202,0.2286047062402203,0.07067745387084506,0.6052091275225604,0.6052091275225604,0.0,0.0,0.0,3.627807382144965e-05,1.1050374268961605e-05,0.0001245034218300134,0.0005933547508902848,0.002561322992239696,32,1,28.056021451950073,False
V_V2C_f1_V2C-gated_cross_attention-pairwise-0p05_s1,V2C,1,V2C-gated_cross_attention-pairwise-0p05,1,43451,1513,41857,0.6041247227068124,0.594500425170068,0.6280111072544255,0.6541968067475094,0.23103076783418158,0.0775026545825182,0.6041247227068124,0.6542456453636071,0.23105083774902455,0.07760716043946395,0.6041247227068124,0.6041247227068124,0.0,0.0,0.0,5.707994569092989e-05,1.8112468751496635e-05,0.00011855137563543394,0.0005846907151862979,0.002579663082262461,24,1,22.96959352493286,False
V_V2C_f1_V2C-gated_cross_attention-pairwise-0p05_s2,V2C,1,V2C-gated_cross_attention-pairwise-0p05,2,43451,1513,41857,0.5724151967435551,0.5701022126022126,0.5462339465463382,0.6783067274933828,0.24241416919499068,0.0944572258900776,0.5724151967435551,0.6783095055140197,0.24241547904917674,0.09445519015235683,0.5724151967435551,0.5724151967435551,0.0,0.0,0.0,1.0080272659251932e-05,4.265660209057387e-06,1.0074422789330129e-05,4.660608101403341e-05,0.0015139180149670592,6,1,13.965184926986694,False
V_V2C_f2_V2C-gated_cross_attention-pairwise-0p05_s0,V2C,2,V2C-gated_cross_attention-pairwise-0p05,0,43451,1513,41857,0.5990596816378067,0.6026392126392126,0.5961091442262991,0.6251445836776075,0.21754373114367243,0.03551691988995821,0.5990596816378067,0.6251743500363144,0.2175571662579623,0.035567396530342583,0.5990596816378067,0.5990596816378067,0.0,0.0,0.0,4.3275373172946274e-05,1.8685590475797653e-05,5.6922563089756295e-05,0.00025645660934969783,0.008082249310511158,7,1,16.29879879951477,False
V_V2C_f2_V2C-gated_cross_attention-pairwise-0p05_s1,V2C,2,V2C-gated_cross_attention-pairwise-0p05,1,43451,1513,41857,0.6643018353174603,0.6618106430606432,0.7061474090762794,0.579390616747653,0.1994631603420617,0.051718298188839745,0.6309265647546898,0.6124011721730223,0.21267566320785103,0.05745945499001301,0.6395431998557,0.6359237463924964,0.033375270562770565,0.02475863546176038,0.028378088924963962,0.08081595599651337,0.048667196184396744,0.09856875240802765,0.46317729353904724,0.2202579636102048,15,6,27.03107523918152,False
V_V2C_f2_V2C-gated_cross_attention-pairwise-0p05_s2,V2C,2,V2C-gated_cross_attention-pairwise-0p05,2,43451,1513,41857,0.6052617694805195,0.6077505365005365,0.584701212316275,0.6270564792568852,0.21851043016082292,0.04337253245810214,0.6052617694805195,0.6271369137091206,0.21854643532210577,0.043418442173154624,0.6052617694805195,0.6052617694805195,0.0,0.0,0.0,0.00011147512850584462,4.128371801925823e-05,0.0001228425680892542,0.0005501220002770424,0.013127341842488142,7,1,17.399980783462524,False
V_V2C_f3_V2C-gated_cross_attention-pairwise-0p05_s0,V2C,3,V2C-gated_cross_attention-pairwise-0p05,0,43451,1513,41857,0.6023030970583417,0.622119161702495,0.7045704240826192,0.60416704565169,0.1905822443621061,0.024376810642146664,0.5956590806241155,0.6484503157420544,0.21009054224644758,0.06696485408714839,0.5432872585844614,0.588487085952121,0.006644016434226185,0.059015838473880367,0.013816011106220771,0.10854332149028778,0.06895408034324646,0.12375970184803009,0.642642617225647,0.17058139466431438,10,7,24.88338279724121,False
V_V2C_f3_V2C-gated_cross_attention-pairwise-0p05_s1,V2C,3,V2C-gated_cross_attention-pairwise-0p05,1,43451,1513,41857,0.5881742674574842,0.6044093792010459,0.6317659122537171,0.6496695217505094,0.21080249767141362,0.07824250620741777,0.5881742674574842,0.6498360401682264,0.21087789659047956,0.07859390734040103,0.5881742674574842,0.5881742674574842,0.0,0.0,0.0,0.00031350660719908774,0.000128946325276047,0.00041059477371163666,0.001821614452637732,0.028808496747106983,11,1,22.574922561645508,False
V_V2C_f3_V2C-gated_cross_attention-pairwise-0p05_s2,V2C,3,V2C-gated_cross_attention-pairwise-0p05,2,43451,1513,41857,0.6424143746696194,0.6542438310146642,0.6820479015600966,0.6316509518933607,0.20218145784393454,0.08309618050933192,0.5857655650487819,0.6532191843733024,0.21229575910620685,0.022922873893538774,0.5724963750313401,0.5871791766896662,0.056648809620837515,0.06991799963827927,0.05523519797995313,0.1176317036151886,0.08779676258563995,0.11266513168811798,0.5426931381225586,0.17498095331936128,3,8,21.688677310943604,False
V_V2C_f1_V2C-gated_cross_attention-hardneg-0p05_s0,V2C,1,V2C-gated_cross_attention-hardneg-0p05,0,43451,1513,41857,0.5725337597725659,0.5696727478870336,0.5530718500520653,0.6754200858727927,0.24112030905702278,0.08980511043508961,0.5725337597725659,0.675483552182998,0.24114818669828395,0.08986110874267567,0.5725337597725659,0.5725337597725659,0.0,0.0,0.0,6.259068322833627e-05,2.123125159414485e-05,0.0001076744229067117,0.0004928403068333864,0.006020792329703257,9,1,15.57414722442627,False
V_V2C_f1_V2C-gated_cross_attention-hardneg-0p05_s1,V2C,1,V2C-gated_cross_attention-hardneg-0p05,1,43451,1513,41857,0.6100688117852295,0.601969246031746,0.6384588684484553,0.6503914223193821,0.22891821807752605,0.07910179466350714,0.6100688117852295,0.6504211885410864,0.2289308074479373,0.0791489690072557,0.6100688117852295,0.6100688117852295,0.0,0.0,0.0,4.690846981247887e-05,1.705235081317369e-05,6.102841143729165e-05,0.0003023201134055853,0.0014263347323246937,27,1,26.85977292060852,False
V_V2C_f1_V2C-gated_cross_attention-hardneg-0p05_s2,V2C,1,V2C-gated_cross_attention-hardneg-0p05,2,43451,1513,41857,0.5746517412935325,0.5720773208273208,0.5464074973967373,0.6780965760435855,0.24232207312072052,0.09744928905308076,0.5746517412935325,0.6781373340557381,0.24234028553146567,0.09747207809485131,0.5746517412935325,0.5746517412935325,0.0,0.0,0.0,6.811589992139488e-05,1.8910854123532772e-05,7.571394962724298e-05,0.000349304435076192,0.0025577282049425317,6,1,19.318983554840088,False
V_V2C_f2_V2C-gated_cross_attention-hardneg-0p05_s0,V2C,2,V2C-gated_cross_attention-hardneg-0p05,0,43451,1513,41857,0.6096834415584416,0.6151714489214489,0.7007831777706255,0.5783500489203222,0.198351014890118,0.024094186611395087,0.5977936733405483,0.626356810631266,0.21806691929462285,0.03116511879358023,0.5541791801948052,0.5842937184343435,0.011889768217893226,0.0555042613636364,0.02538972312409804,0.11681544035673141,0.07828806340694427,0.106377013027668,0.5251103043556213,0.3114428450017791,6,10,25.851632595062256,False
V_V2C_f2_V2C-gated_cross_attention-hardneg-0p05_s1,V2C,2,V2C-gated_cross_attention-hardneg-0p05,1,43451,1513,41857,0.6665825667388167,0.6658960021460021,0.7110825018774809,0.5719085758204242,0.19656719250014604,0.03057631149527019,0.6302592893217893,0.6190698988277589,0.21520650658859888,0.053919938105168985,0.6535838293650793,0.6183760597041847,0.036323277417027344,0.012998737373737357,0.04820650703463192,0.09598743915557861,0.05293260142207146,0.09206558763980865,0.4615149199962616,0.3540033255178728,11,9,24.48097825050354,False
V_V2C_f2_V2C-gated_cross_attention-hardneg-0p05_s2,V2C,2,V2C-gated_cross_attention-hardneg-0p05,2,43451,1513,41857,0.6250909767316017,0.6239550264550264,0.7374745199012981,0.5556938262999755,0.18849373597278318,0.055635108063102096,0.6143128832972582,0.6224850785402876,0.2166621082877683,0.04485726780441244,0.601904310966811,0.5926092397186148,0.01077809343434355,0.02318666576479078,0.032481737012986955,0.12140516191720963,0.0775425136089325,0.1252959966659546,0.6138398051261902,0.46331702705144073,10,12,26.268558025360107,False
V_V2C_f3_V2C-gated_cross_attention-hardneg-0p05_s0,V2C,3,V2C-gated_cross_attention-hardneg-0p05,0,43451,1513,41857,0.5945227169877519,0.6127277814777815,0.6391635537977001,0.6479622659275341,0.20984337510664502,0.06558734513669427,0.5934364295378283,0.64859193422977,0.21012775158540184,0.06598803772478878,0.5919492415121786,0.5944686044336394,0.001086287449923673,0.0025734754755732947,5.41125541125842e-05,0.0018653572769835591,0.0010116631165146828,0.0019721174612641335,0.008696000091731548,0.08052123876453254,10,2,22.62934923171997,False
V_V2C_f3_V2C-gated_cross_attention-hardneg-0p05_s1,V2C,3,V2C-gated_cross_attention-hardneg-0p05,1,43451,1513,41857,0.5915044842492395,0.6082225490558825,0.6391635537977002,0.6476555832447319,0.20977224628965108,0.06799333817188787,0.5915044842492395,0.6478055381534881,0.20983831188489405,0.06826148447202367,0.5915044842492395,0.5915044842492395,0.0,0.0,0.0,0.0002195021661464125,6.223058881005272e-05,0.0003226537082809955,0.001486338209360838,0.011977946418931835,12,1,25.52603244781494,False
V_V2C_f3_V2C-gated_cross_attention-hardneg-0p05_s2,V2C,3,V2C-gated_cross_attention-hardneg-0p05,2,43451,1513,41857,0.6198474311236549,0.6358978367311701,0.680839375961327,0.6251427129676738,0.19965948459539515,0.06120124882046887,0.5869575548771353,0.6531621162962123,0.21227146850931225,0.022581330597066736,0.5637749294217825,0.5811241206346102,0.03288987624651962,0.05607250170187239,0.03872331048904476,0.10026345402002335,0.05438545346260071,0.09399436414241791,0.4461980164051056,0.35969477612587436,3,6,19.707440853118896,False
V_V2C_f1_V2C-dynamic-gated-pairwise-0p05_s0,V2C,1,V2C-dynamic-gated-pairwise-0p05,0,43451,1513,41857,0.5994261377097199,0.5907718769325913,0.6013189864630337,0.6628208501626814,0.23522825722458682,0.07268096374235727,0.5991655359565807,0.6637831314471967,0.23565764032445044,0.0743482076592295,0.6002553251060714,0.5972584049449721,0.0002606017531391336,-0.0008291873963515162,0.0021677327647477984,0.0009795987280085683,0.0002572085941210389,0.0019231667974963784,0.008931460790336132,0.026909573200335726,24,2,24.157169818878174,False
V_V2C_f1_V2C-dynamic-gated-pairwise-0p05_s1,V2C,1,V2C-dynamic-gated-pairwise-0p05,1,43451,1513,41857,0.6179534147444596,0.615771447467876,0.656056924678931,0.6535954487619986,0.22530916027108674,0.08182600039166842,0.6034052680321338,0.6697421042353484,0.23857726032392798,0.09215767429687917,0.5557222545282245,0.5773753526738602,0.014548146712325849,0.06223116021623509,0.04057806207059944,0.14165829122066498,0.07773669064044952,0.1430029422044754,0.7588710784912109,0.583105327047202,14,16,26.532822370529175,False
V_V2C_f1_V2C-dynamic-gated-pairwise-0p05_s2,V2C,1,V2C-dynamic-gated-pairwise-0p05,2,43451,1513,41857,0.5807728672654047,0.5801783352229781,0.5738979520999653,0.6746741637610715,0.23962531234415885,0.07297418275074154,0.5727385798281323,0.6781690763588126,0.2423554820427469,0.09433137217702017,0.5818223815985011,0.5629619219917729,0.008034287437272414,-0.001049514333096413,0.017810945273631806,0.07046600431203842,0.050608761608600616,0.10085237771272659,0.4617561399936676,0.3929716286386112,6,8,17.183982372283936,False
V_V2C_f2_V2C-dynamic-gated-pairwise-0p05_s0,V2C,2,V2C-dynamic-gated-pairwise-0p05,0,43451,1513,41857,0.6090383748196249,0.6153379028379028,0.705253370525337,0.5767942539726058,0.1969866257295162,0.0448992343621428,0.5968895427489177,0.6248515207588456,0.2174100005040111,0.03854136260388563,0.5794329455266956,0.5680229752886004,0.01214883207070716,0.02960542929292931,0.04101539953102451,0.1403626650571823,0.06072341650724411,0.1073455810546875,0.5324623584747314,0.29190481847695193,7,8,22.648162364959717,False
V_V2C_f2_V2C-dynamic-gated-pairwise-0p05_s1,V2C,2,V2C-dynamic-gated-pairwise-0p05,1,43451,1513,41857,0.6804156520562772,0.6808423983423985,0.7389407431248436,0.552535673914227,0.18923195892193687,0.037772995368786824,0.6279033639971139,0.6133961558025482,0.2130829769023143,0.07205087644717748,0.5870188492063492,0.5872988816738817,0.0525122880591633,0.09339680284992802,0.09311677038239552,0.14210857450962067,0.08370783179998398,0.11625798046588898,0.6289620399475098,0.3689331237699669,15,15,29.86239194869995,False
V_V2C_f2_V2C-dynamic-gated-pairwise-0p05_s2,V2C,2,V2C-dynamic-gated-pairwise-0p05,2,43451,1513,41857,0.603065137987013,0.6064368501868501,0.7112255480456318,0.5744208405208916,0.1962849038675979,0.04873771259425146,0.6001017992424242,0.6274955276269467,0.21870768479918606,0.04476321334859061,0.5637363591269842,0.5997903138528138,0.0029633387445887616,0.039328778860028835,0.003274824134199217,0.12412890046834946,0.0524442233145237,0.09718230366706848,0.4636569917201996,0.2566883377170885,7,7,19.269808053970337,False
V_V2C_f3_V2C-dynamic-gated-pairwise-0p05_s0,V2C,3,V2C-dynamic-gated-pairwise-0p05,0,43451,1513,41857,0.6119334531047818,0.6272833416583418,0.6788617886178863,0.6197681552737805,0.19692518801124206,0.06347877725454246,0.5947633854102385,0.6509657366575762,0.21129291284575608,0.03716909839492555,0.5763004575067512,0.5891989226779437,0.017170067694543212,0.03563299559803057,0.02273453042683804,0.07192817330360413,0.04067870229482651,0.07540161907672882,0.348268061876297,0.30915724633641556,5,5,18.361493349075317,False
