experiment_id,stage,fold,config,scheduler,balance,lambda_pair,seed,params,backbone_params,eeg_params,backbone_best_epoch,eeg_best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds,locked_test_accessed
T_T2_scheduler_f3_sch-plateau_bal-sample_bce_pair-0p0_s1,T2_scheduler,3,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,1,19739,1513,18145,6,8,0.6091384916559742,0.6265693103193103,0.6494909543690032,0.630150319716534,0.20245209080229,0.026909184213325502,18.910252809524536,False
T_T2_scheduler_f3_sch-plateau_bal-sample_bce_pair-0p0_s2,T2_scheduler,3,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,2,19739,1513,18145,3,9,0.5990904976918962,0.6121635077885078,0.6535559950194096,0.6289274001304707,0.20045429191123684,0.06541954157437238,14.929768800735474,False
T_T3_user_balance_f1_sch-none_bal-sample_bce_pair-0p0_s0,T3_user_balance,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,20,2,0.599324266115311,0.591214290008933,0.5953835473793821,0.6669691673663015,0.23718629594767016,0.0792552081382377,16.51989436149597,False
T_T3_user_balance_f1_sch-none_bal-sample_bce_pair-0p0_s1,T3_user_balance,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,12,20,0.6273969976955052,0.6221553760393046,0.6401943769524471,0.6529146477106609,0.22722519002292196,0.09340213726469473,20.497291803359985,False
T_T3_user_balance_f1_sch-none_bal-sample_bce_pair-0p0_s2,T3_user_balance,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,6,1,0.5737833559475353,0.5715903078403078,0.5470322804581742,0.6783322421229321,0.2424181605713799,0.09475865118995438,10.116022825241089,False
T_T3_user_balance_f2_sch-none_bal-sample_bce_pair-0p0_s0,T3_user_balance,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,10,4,0.5934789862914863,0.5997704610204609,0.6202839466437793,0.6208914966117269,0.2154916923952617,0.06422188456609762,14.838047981262207,False
T_T3_user_balance_f2_sch-none_bal-sample_bce_pair-0p0_s1,T3_user_balance,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,2,0.6319196428571429,0.634282846782847,0.6266852626685263,0.6098958254658935,0.21176415080073935,0.06612082951037697,16.491370677947998,False
T_T3_user_balance_f2_sch-none_bal-sample_bce_pair-0p0_s2,T3_user_balance,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,15,1,0.6109361471861472,0.6110493672993672,0.5963952365626006,0.618922448687708,0.2153975027024248,0.045904797891003137,16.473405361175537,False
T_T3_user_balance_f3_sch-none_bal-sample_bce_pair-0p0_s0,T3_user_balance,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,6,5,0.6194808881871819,0.6331782453657454,0.636453526697429,0.6379307953016662,0.20482688934981644,0.05058788651299383,18.100408792495728,False
T_T3_user_balance_f3_sch-none_bal-sample_bce_pair-0p0_s1,T3_user_balance,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,11,0.6499909084699296,0.6631393143893144,0.7027027027027027,0.6050459449006398,0.1931479042020712,0.038474905734077795,26.998334646224976,False
T_T3_user_balance_f3_sch-none_bal-sample_bce_pair-0p0_s2,T3_user_balance,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,3,9,0.6029295102721677,0.6167878032461366,0.6605874166849778,0.6289817028322684,0.20022252994781511,0.05788201391234089,17.342265605926514,False
T_T3_user_balance_f1_sch-none_bal-inverse_user_count_bce_pair-0p0_s0,T3_user_balance,1,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,0,19739,1513,18145,39,2,0.6099924619327605,0.6018479866694154,0.6678583825060743,0.632896237885473,0.22057815907750866,0.0529465008324231,27.646851062774658,False
T_T3_user_balance_f1_sch-none_bal-inverse_user_count_bce_pair-0p0_s1,T3_user_balance,1,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,1,19739,1513,18145,11,16,0.620607245159484,0.6116944100872672,0.6249566122874003,0.6842925809734242,0.23758607269573223,0.09752987276623959,21.373238563537598,False
T_T3_user_balance_f1_sch-none_bal-inverse_user_count_bce_pair-0p0_s2,T3_user_balance,1,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,2,19739,1513,18145,7,1,0.5728750188451681,0.5710308871023158,0.552481777160708,0.6746091176989862,0.24087020090236458,0.08435970399646156,12.098283290863037,False
T_T3_user_balance_f2_sch-none_bal-inverse_user_count_bce_pair-0p0_s0,T3_user_balance,2,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,0,19739,1513,18145,9,1,0.5928951343795095,0.5990040052540052,0.6073740299681721,0.6239549979721649,0.21702716884497628,0.04308164743196449,15.012859106063843,False
T_T3_user_balance_f2_sch-none_bal-inverse_user_count_bce_pair-0p0_s1,T3_user_balance,2,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,1,19739,1513,18145,16,1,0.6296878382034632,0.6331523106523107,0.6247183778564531,0.6120154858307916,0.2124825047038623,0.06745301986380028,18.698944330215454,False
T_T3_user_balance_f2_sch-none_bal-inverse_user_count_bce_pair-0p0_s2,T3_user_balance,2,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,2,19739,1513,18145,12,1,0.6115497610028859,0.6116184278684279,0.5859886278296319,0.6216387217209393,0.21640224497427174,0.050636910848460816,17.238551139831543,False
T_T3_user_balance_f3_sch-none_bal-inverse_user_count_bce_pair-0p0_s0,T3_user_balance,3,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,0,19739,1513,18145,7,7,0.6234007057433631,0.6338182265265598,0.6527869332747381,0.6345156188055645,0.20323510311385976,0.07708316938253985,24.575107097625732,False
T_T3_user_balance_f3_sch-none_bal-inverse_user_count_bce_pair-0p0_s1,T3_user_balance,3,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,1,19739,1513,18145,18,6,0.6397560190392358,0.6498321084779417,0.6887131033472497,0.6095175740126494,0.19555801195441416,0.025470505905840643,28.339901447296143,False
T_T3_user_balance_f3_sch-none_bal-inverse_user_count_bce_pair-0p0_s2,T3_user_balance,3,sch-none_bal-inverse_user_count_bce_pair-0p0,none,inverse_user_count_bce,0.0,2,19739,1513,18145,3,7,0.6072725060487298,0.6196263420221754,0.6578773895847067,0.632171222684409,0.20185620832013582,0.07061348130427128,19.664188861846924,False
