phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,feature_set,pair_weighting,oof_meta,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.5679611650485437,0.5896966113426382,0.5679611650485437,0.5358533496926354,618,28,24,0.5,0.5,0.5,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.617056856187291,0.6063924996960711,0.617056856187291,0.5872215350786779,598,35,28,0.6035483836230106,0.5974253160860304,0.5982297813259285,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.589041095890411,0.5924055111555112,0.589041095890411,0.587214405964406,584,30,26,0.5576565882034632,0.559097569097569,0.5538390015377463,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.6229773462783171,0.662688115786671,0.6229773462783171,0.6352820228713086,618,28,24,0.6376251856146962,0.652350631621465,0.6418003369222881,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.6204013377926422,0.6118423639852212,0.6204013377926422,0.5974374355802927,598,35,28,0.6083602550020462,0.6032825061842919,0.6472058313085733,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.5976027397260274,0.5992253117253117,0.5976027397260274,0.5931248997915665,584,30,26,0.5753102453102453,0.5751084563584563,0.5875978972213283,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.6132686084142395,0.6437348643143922,0.6132686084142395,0.617200666397095,618,28,24,0.6140693610973332,0.6286950896325897,0.5632461730022705,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.617056856187291,0.6125249981499982,0.617056856187291,0.5956989624132482,598,35,28,0.6044507979582606,0.5999812323919466,0.5840333217632766,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.589041095890411,0.5919425481925482,0.589041095890411,0.5868131713965047,584,30,26,0.5642056727994228,0.5647913660413659,0.5512641705110324,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.6197411003236246,0.6626596315394367,0.6197411003236246,0.6350981690267404,618,28,24,0.6372351715883183,0.6531998479915146,0.6464879513660001,24
