candidate,score_variant,uses_eeg,control_type,variant_family,feature_set,pair_weighting,oof_meta,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-shuffle,oof_pair_context_equal_C0p25,False,shuffle_eeg_control,oof_pair_meta,context_interactions,equal,True,5,0.6347173658269606,0.0022010722268714224,0.6493521164172195,0.6347173658269606,0.5338242553466435,0.5346930916305916,0.5422617168979353,1.0,0.0
V2H-local-shuffle,oof_pair_score_equal_C0p25,False,shuffle_eeg_control,oof_pair_meta,score_only,equal,True,5,0.6343277298402575,0.007403345420694508,0.6481475167793322,0.6343277298402575,0.636749274143394,0.6386309802043929,0.6033523034422219,1.0,0.0
V2H-local-shuffle,oof_pair_context_balanced_C0p25,False,shuffle_eeg_control,oof_pair_meta,context_interactions,context_balanced,True,5,0.6342247997133881,0.006894513664884166,0.6469000256155798,0.6342247997133881,0.6318236987813901,0.6337151239413145,0.6344636695419019,1.0,0.0
V2H-local-shuffle,v2n_eeg_base_0p05,False,shuffle_eeg_control,baseline_score_transform,none,none,False,5,0.6333373859923992,0.006639291380541284,0.6467713157561584,0.6333373859923992,0.6299484453908378,0.6310281375737725,0.5983469988405159,1.0,0.0
V2H-local-zero,oof_pair_score_context_balanced_C0p25,False,zero_eeg_control,oof_pair_meta,score_only,context_balanced,True,5,0.6046682048484728,0.007632672530236975,0.6165768634612634,0.6046682048484728,0.6017424476311369,0.6059023361999553,0.6101772002432027,0.0,0.0
V2H-local-zero,oof_pair_context_sqrt_pair_C0p25,False,zero_eeg_control,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,5,0.6025223329932559,0.007051128912403014,0.6169827816259322,0.6025223329932559,0.5950376053611509,0.5984403862231243,0.6107461539287545,0.0,0.0
V2H-local-zero,margin_power0p25_base0p05,False,zero_eeg_control,baseline_score_transform,none,none,False,5,0.6025196962937296,0.005182762120781712,0.6074165165161836,0.6025196962937296,0.589838483863703,0.5939931344742853,0.6109207922730912,0.0,0.0
V2H-local-zero,oof_pair_score_equal_C0p25,False,zero_eeg_control,oof_pair_meta,score_only,equal,True,5,0.6018887145751264,0.0059037556234675164,0.617270109657105,0.6018887145751264,0.597092438094219,0.6019080010964932,0.5637544434493581,0.0,0.0
V2H-local-zero,oof_pair_context_balanced_C0p10,False,zero_eeg_control,oof_pair_meta,context_interactions,context_balanced,True,5,0.600933418814786,0.006506652967997612,0.6099964358134508,0.600933418814786,0.5986460071568864,0.6015029451368737,0.6102231366361387,0.0,0.0
V2H-local-zero,oof_pair_context_balanced_C0p25,False,zero_eeg_control,oof_pair_meta,context_interactions,context_balanced,True,5,0.5998031853307185,0.006630393327792147,0.6098644946599101,0.5998031853307185,0.5937646224202463,0.5963227368604354,0.6150841304567969,0.0,0.0
V2H-local-zero,sqrt_margin_eeg_base0p05,False,zero_eeg_control,baseline_score_transform,none,none,False,5,0.5974382586040299,0.005097686236647548,0.6004810440045464,0.5974382586040299,0.5852861375201602,0.5896411408256645,0.606827771189345,0.0,0.0
V2H-local-zero,oof_pair_context_equal_C0p25,False,zero_eeg_control,oof_pair_meta,context_interactions,equal,True,5,0.5956075180581792,0.010388320076302174,0.608562470621652,0.5956075180581792,0.5013230850953565,0.5010822913858628,0.5098997994527644,0.0,0.0
V2H-local-zero,v2n_eeg_base_0p05,False,zero_eeg_control,baseline_score_transform,none,none,False,5,0.5952295828889617,0.005233074306209543,0.5965701089091812,0.5952295828889617,0.5817049435825561,0.5861115479538098,0.6052358115553401,0.0,0.0
