user_id,auc,sample_count,positive_count,negative_count,like_rate,valid_auc,exclusion_reason
0,0.7777777777777777,29,2,27,0.06896551724137931,True,
1,0.6,22,7,15,0.3181818181818182,True,
2,0.4666666666666667,29,15,14,0.5172413793103449,True,
3,0.5666666666666667,23,15,8,0.6521739130434783,True,
4,0.525,29,24,5,0.8275862068965517,True,
5,0.23750000000000002,26,10,16,0.38461538461538464,True,
6,0.8571428571428572,8,1,7,0.125,True,
7,,26,0,26,0.0,False,all_negative
8,0.46405228758169936,26,9,17,0.34615384615384615,True,
9,0.7411764705882353,22,17,5,0.7727272727272727,True,
10,0.55,24,14,10,0.5833333333333334,True,
11,0.6529411764705882,27,17,10,0.6296296296296297,True,
12,0.4921875,24,8,16,0.3333333333333333,True,
13,0.5727272727272728,27,5,22,0.18518518518518517,True,
14,0.39999999999999997,23,10,13,0.43478260869565216,True,
15,0.5555555555555556,31,13,18,0.41935483870967744,True,
16,0.7307692307692307,21,8,13,0.38095238095238093,True,
17,0.7272727272727273,27,5,22,0.18518518518518517,True,
18,0.4166666666666667,27,3,24,0.1111111111111111,True,
19,0.4823529411764706,22,5,17,0.22727272727272727,True,
20,0.5681818181818181,24,2,22,0.08333333333333333,True,
21,0.7291666666666667,28,4,24,0.14285714285714285,True,
22,0.7222222222222221,21,3,18,0.14285714285714285,True,
23,0.2941176470588235,18,1,17,0.05555555555555555,True,
24,,18,0,18,0.0,False,all_negative
25,,20,0,20,0.0,False,all_negative
26,,25,0,25,0.0,False,all_negative
27,0.47058823529411764,21,4,17,0.19047619047619047,True,
28,0.3928571428571429,29,1,28,0.034482758620689655,True,
29,0.6428571428571428,19,5,14,0.2631578947368421,True,
