experiment_id,model,seed,split_version,feature_set,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,checkpoint,prediction_file,elapsed_seconds
B_LR-user-only_rollv2_s0,LR-user-only,0,protocol_a_rollv2_train_dev,LR-user-only,35,,0.5,0.5,0.7291803999121073,0.5591494697835853,0.18844979627719483,0.04489986778111019,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-user-only_rollv2_s0\predictions.csv,0.020943164825439453
B_LR-user-only_rollv2_s1,LR-user-only,1,protocol_a_rollv2_train_dev,LR-user-only,35,,0.5,0.5,0.7291803999121073,0.5591494697835853,0.18844979627719483,0.04489986778111019,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-user-only_rollv2_s1\predictions.csv,0.019947528839111328
B_LR-user-only_rollv2_s2,LR-user-only,2,protocol_a_rollv2_train_dev,LR-user-only,35,,0.5,0.5,0.7291803999121073,0.5591494697835853,0.18844979627719483,0.04489986778111019,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-user-only_rollv2_s2\predictions.csv,0.01897120475769043
B_LR-user-only_rollv2_s3,LR-user-only,3,protocol_a_rollv2_train_dev,LR-user-only,35,,0.5,0.5,0.7291803999121073,0.5591494697835853,0.18844979627719483,0.04489986778111019,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-user-only_rollv2_s3\predictions.csv,0.019946575164794922
B_LR-user-only_rollv2_s4,LR-user-only,4,protocol_a_rollv2_train_dev,LR-user-only,35,,0.5,0.5,0.7291803999121073,0.5591494697835853,0.18844979627719483,0.04489986778111019,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-user-only_rollv2_s4\predictions.csv,0.014960289001464844
B_LR-content-only_rollv2_s0,LR-content-only,0,protocol_a_rollv2_train_dev,LR-content-only,18,,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667520515818,0.21240025272744412,0.02238152898981335,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-content-only_rollv2_s0\predictions.csv,0.01695728302001953
B_LR-content-only_rollv2_s1,LR-content-only,1,protocol_a_rollv2_train_dev,LR-content-only,18,,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667520515818,0.21240025272744412,0.02238152898981335,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-content-only_rollv2_s1\predictions.csv,0.022942066192626953
B_LR-content-only_rollv2_s2,LR-content-only,2,protocol_a_rollv2_train_dev,LR-content-only,18,,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667520515818,0.21240025272744412,0.02238152898981335,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-content-only_rollv2_s2\predictions.csv,0.02047109603881836
B_LR-content-only_rollv2_s3,LR-content-only,3,protocol_a_rollv2_train_dev,LR-content-only,18,,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667520515818,0.21240025272744412,0.02238152898981335,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-content-only_rollv2_s3\predictions.csv,0.01949024200439453
B_LR-content-only_rollv2_s4,LR-content-only,4,protocol_a_rollv2_train_dev,LR-content-only,18,,0.5853747553922379,0.6027873438290104,0.5792133597011646,0.6534667520515818,0.21240025272744412,0.02238152898981335,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-content-only_rollv2_s4\predictions.csv,0.024929523468017578
B_LR-history-only_rollv2_s0,LR-history-only,0,protocol_a_rollv2_train_dev,LR-history-only,14,,0.29060447128628947,0.3035350028058361,0.7464293561854538,0.5485335658720536,0.18363438345274474,0.08647444660949999,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-history-only_rollv2_s0\predictions.csv,0.020944595336914062
B_LR-history-only_rollv2_s1,LR-history-only,1,protocol_a_rollv2_train_dev,LR-history-only,14,,0.29060447128628947,0.3035350028058361,0.7464293561854538,0.5485335658720536,0.18363438345274474,0.08647444660949999,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-history-only_rollv2_s1\predictions.csv,0.019946575164794922
B_LR-history-only_rollv2_s2,LR-history-only,2,protocol_a_rollv2_train_dev,LR-history-only,14,,0.29060447128628947,0.3035350028058361,0.7464293561854538,0.5485335658720536,0.18363438345274474,0.08647444660949999,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-history-only_rollv2_s2\predictions.csv,0.014960527420043945
