model,seed_count,parameter_count,unseen_item_count,unseen_gauc,unseen_auc,dev_gauc_mean,dev_gauc_std,dev_macro_auc_mean,dev_macro_auc_std,dev_auc_mean,dev_auc_std,dev_logloss_mean,dev_logloss_std,dev_brier_mean,dev_brier_std,dev_ece_mean,dev_ece_std,gauc_ensemble,gauc_ci_lower,gauc_ci_upper,auc_ensemble,auc_ci_lower,auc_ci_upper,macro_auc_ensemble,macro_auc_ci_lower,macro_auc_ci_upper,log_loss_ensemble,log_loss_ci_lower,log_loss_ci_upper,brier_ensemble,brier_ci_lower,brier_ci_upper,ece_ensemble,ece_ci_lower,ece_ci_upper
H2-history-behavior,5,1513,321,0.604498476929307,0.6641641641641642,0.605701613848467,0.023684908230017523,0.6214605356063689,0.021830627555871028,0.626441075221563,0.05402711802394965,0.6369509978282168,0.021546938323417378,0.20626748073873347,0.007933828279460988,0.02953632414107703,0.006404443187402657,0.6117216796412601,0.5216881724407765,0.6916603223734026,0.6578041456090237,0.5907560106007624,0.7244482232314399,0.6267490958115958,0.5342906720481022,0.7129819211806712,0.6317938882246299,0.5319489233467897,0.7543286142550586,0.2035579733410987,0.17240853384439997,0.23317666809428478,0.05105390460484971,0.029079288515866865,0.10863365280666734
H3-history-maes,5,1513,321,0.5839542429463377,0.6673491673491674,0.6006848376953272,0.013341366149157194,0.6167647784314451,0.011543248821057204,0.6315974511096464,0.04962281109297268,0.6384624855534213,0.018137957826492676,0.20648333017432413,0.006982577344931003,0.041897131401998064,0.018864169971726692,0.593699171846025,0.5016762827545679,0.6761628667499525,0.6546546546546547,0.5846618336089456,0.718565278509737,0.608736880403547,0.5139777988393374,0.6970499004596227,0.6346491889675943,0.5403797836356873,0.7561562301964246,0.20449678129754634,0.17581562823221256,0.23227678396123483,0.04552387236585113,0.033007115052254524,0.11526243620880973
H1-history-item,5,1153,321,0.5820312866755554,0.6336791336791336,0.6006027306027306,0.018521580248497746,0.6154869929453263,0.015383282876371699,0.6084889767816597,0.03311717876246891,0.6437282887730263,0.013227800539835303,0.20904682937972155,0.004578411411516812,0.03439787637699525,0.01218181451144079,0.5910254566723099,0.5028807925677325,0.6720395770988685,0.6275543836519446,0.5615413387739241,0.6955300122380803,0.6086723962765629,0.5195420983980011,0.6940611361644055,0.6393930949226039,0.5398745924014543,0.7649093578905671,0.2068204934301482,0.17486664129442153,0.23765583736184642,0.028774073116381707,0.02387996158260986,0.1078106215627506
H0-anchor-only,5,0,321,0.5861978381741227,0.5871098371098371,0.5853747553922379,0.0,0.6027873438290104,0.0,0.5792133597011646,0.0,0.6534667516956374,0.0,0.2124002525299956,0.0,0.022381527470987792,0.0,0.5853747553922379,0.4956248941205328,0.6684589121827418,0.5792133597011646,0.5110882988448654,0.648129648234902,0.6027873438290104,0.5118454935333818,0.6876013104256853,0.6534667516956374,0.5600157290954998,0.7784841064108641,0.2124002525299956,0.18267473090426678,0.24100698653196206,0.022381527470987792,0.01866624410398688,0.1068114080374931
