model,seed_count,parameter_count,dev_gauc_mean,dev_gauc_std,dev_macro_auc_mean,dev_macro_auc_std,dev_auc_mean,dev_auc_std,dev_logloss_mean,dev_logloss_std,dev_brier_mean,dev_brier_std,dev_ece_mean,dev_ece_std,gauc_ensemble,gauc_ci_lower,gauc_ci_upper,auc_ensemble,auc_ci_lower,auc_ci_upper,macro_auc_ensemble,macro_auc_ci_lower,macro_auc_ci_upper,log_loss_ensemble,log_loss_ci_lower,log_loss_ci_upper,brier_ensemble,brier_ci_lower,brier_ci_upper,ece_ensemble,ece_ci_lower,ece_ci_upper
mean-h30-content_only,5,1573,0.550099869050918,0.014733561456993132,0.5676838632046965,0.02016659702479752,0.6759686515784076,0.12341506393417263,0.5759502632524375,0.04464572007191949,0.19603032745029186,0.019369400758308886,0.07737068189229786,0.025729494439948167,0.5411681655562776,0.44738418132367463,0.6309865018820702,0.7363949315168827,0.6456595946397776,0.8071596005084865,0.568495655578989,0.4739115401059845,0.6550571545121545,0.5584131583063787,0.4975477832371802,0.6133045107977119,0.18798667644179562,0.1615887374254444,0.21203390424038004,0.08820747349839081,0.052699405670144917,0.1432069086602248
mean-h20-content_only,5,1573,0.5343689333199823,0.02088264931566059,0.554306327931328,0.008322485176844993,0.6605141727092947,0.10299537741505736,0.586649944404576,0.034496618824521805,0.20045745405443705,0.01479925624358092,0.08779358400308451,0.021391414101139244,0.5238644319938027,0.42981964743163975,0.6210808748168142,0.7138357870065187,0.6124894142167617,0.7967105263157894,0.553979739396406,0.45396939529069963,0.6444827024827023,0.5724933116074805,0.5163307273376214,0.623310512608963,0.19374139618542818,0.16852178454651554,0.21683500854669194,0.08585313142639915,0.05380777578465269,0.1378626089200858
mean-h10-content_only,5,1573,0.5342597146443302,0.02449462478715787,0.5564068816985484,0.02066701179857592,0.6780414560902366,0.050577428713682475,0.5796943765951479,0.024086347288900294,0.19743426574547604,0.010679858862147795,0.05313834562814203,0.011091350724614871,0.5257138063956246,0.43061820313245625,0.6148181384831948,0.7269830806416171,0.6301094508962352,0.8038030542963884,0.5514797779381113,0.4569546657046658,0.6380677975406235,0.5650375132309964,0.5067997769204939,0.6176063639418652,0.19044938581409684,0.1640346380372967,0.21445862335294413,0.08611110952429746,0.04942868589891263,0.14025537793073986
din-h30-content_only,5,3926,0.5294031725849908,0.011224630554318845,0.5493771544813212,0.009406379010259253,0.6355892477843696,0.09103747987153504,0.5980553534392795,0.03077342476927752,0.20607638268224,0.013677993492648755,0.07718595957346991,0.023581172076709338,0.5226888010978921,0.43520980822848776,0.6081925139602758,0.6984911741009302,0.5916071044905338,0.7830561416444766,0.5512017997434664,0.4573483170686728,0.6353918037518037,0.5824751181107761,0.5304602162485285,0.6317703286913074,0.19837047520273798,0.17433328536600032,0.22094588451477254,0.07715967784867903,0.04209958795756667,0.13787196449643516
gru-h10-content_only,5,5173,0.5238145886747285,0.02441331159591844,0.5246327969869637,0.0281405011498219,0.5365047974804072,0.06133709264345187,0.6323474662802445,0.018062789507937684,0.22017636874828678,0.008070848727735655,0.0757241654462841,0.041627694380319054,0.5070382026675734,0.4153900065740175,0.5923443194034996,0.577711858199663,0.46229296744318543,0.68283777605245,0.5021559960101626,0.406983386480669,0.5896214891424291,0.6122490225349995,0.5557908796864147,0.6684529200198178,0.2111732894939127,0.18426594566991564,0.23764088469991318,0.026296802244934404,0.013486719966395697,0.11048920583035816
gru-h30-content_only,5,5173,0.523709685807588,0.02680151497180753,0.5246481466064801,0.029074288757093215,0.5366146634439317,0.061501874297274335,0.6322967371456947,0.018256113459160648,0.22015381688740449,0.008138434090504368,0.07435247062885461,0.037042721217073325,0.5094080550374256,0.4175873680355123,0.5928537643053842,0.578224566029444,0.4630356770220898,0.6834680969510106,0.5044090824299158,0.40737621255556034,0.5929480800948325,0.6121640382722611,0.5556500676396782,0.6684691607900675,0.21115193500555832,0.1842278819210716,0.23769171981501078,0.025914060172079645,0.01335834532186042,0.10958395112754583
din-h20-content_only,5,3926,0.5223816956159614,0.024882181822127244,0.5379600854392521,0.02440766557094662,0.6080714861202665,0.08939539002738503,0.6108699773518195,0.027362957550186827,0.211481046619864,0.012438718080632672,0.09048768601247242,0.020433097962168162,0.5198374857465766,0.4207531795020228,0.617236630189436,0.6635171757122977,0.549988898364294,0.7592635343110629,0.5510077962161296,0.4504661129932869,0.6418748448155563,0.5964585133862391,0.5476442156646513,0.6445863821101382,0.20448198640971715,0.18170914147146586,0.22704223327630685,0.06612042618148467,0.04367063029836308,0.14160594241206023
gru-h20-content_only,5,5173,0.5220319016647688,0.0212478666126573,0.5227681384973052,0.024081091267136583,0.5365780414560903,0.061253027547392536,0.6322971511545397,0.018113267027086766,0.22015727610116512,0.008075725347894233,0.07473383843481374,0.03726013233043201,0.5083258039551746,0.41724428489726806,0.5935637034959167,0.5783344319929686,0.46434895099877604,0.684025296031268,0.5034963840172173,0.4059145746564225,0.5915673794674741,0.6122093778699339,0.5557119253039733,0.668445826514398,0.21116217687859745,0.18422408116110622,0.23767026000067445,0.02606124645438178,0.012945672956979851,0.10971576079070325
din-h10-content_only,5,3926,0.5167515332375473,0.023455461536620953,0.5343029732613066,0.022273952602769154,0.623071852340145,0.12034144184998652,0.6031904486521534,0.05030119792413784,0.2084081085947492,0.02281442422914886,0.07558320951895887,0.05545504999532581,0.5154951109496565,0.4254536461560455,0.5986807580061577,0.6803999121072293,0.57263393574676,0.7676845681776868,0.543582050665384,0.4478505656983918,0.6284992196812849,0.586759008059727,0.5354088016971844,0.6356794365513835,0.2000764368159999,0.17609881598632332,0.22259412683320542,0.06251068831491868,0.03296644077644463,0.12963466418949404
