phase,protocol_id,split_version,selected_candidate,selected_score_variant,mean_protocol_gauc,mean_protocol_macro_user_auc,mean_event_transfer_gauc,real_eeg_beats_all_controls,hits_0p8,final_action,next_stage,locked_test_accessed
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,eeg_plus_base_0p05,0.6760938781668874,0.6805579847699132,0.6688599504001635,True,False,promote_v2n_blend_candidate_continue_protocolized_development,V2-O_protocolized_listwise_or_reliability_search,False
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,sqrt_margin_eeg_base0p05,0.6772939977796371,0.6871659513421072,0.6701697077618007,True,False,promote_v2o_protocolized_candidate_continue_development,V2-P_protocolized_stability_or_candidate_set_audit,False
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,margin_power0p25_base0p05,0.6795761674784092,0.6838145769296486,0.6712953989229675,True,False,promote_v2q_candidate_continue_protocolized_development,V2-R_protocolized_pair_weight_or_context_modeling,False
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,margin_power0p2_base0p025,0.6813695123598442,0.6876784697797247,0.6716831716777639,True,False,promote_v2s_candidate_continue_protocolized_development,V2-T_stability_first_score_family_or_data_limit_audit,False
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,margin_power0p2_base0p025,0.6813695123598442,0.6876784697797247,0.6716831716777639,True,False,stop_expanding_score_family_move_to_eeg_reliability_sampling,V2-U_eeg_reliability_weighted_pair_sampling,False
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,V2H-local-real,margin_power0p2_base0p025,0.6813695123598442,0.6876784697797247,0.6716831716777639,True,False,keep_v2s_candidate_move_to_protocol_reachability_limit_review,V2-V_protocol_reachability_limit_review,False
