phase,protocol_id,split_version,score_variant,control_count,has_all_controls,all_controls_beaten,min_delta_protocol_gauc,mean_delta_protocol_gauc,min_delta_macro_user_auc,mean_delta_event_transfer_gauc
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p075,3,True,True,0.0388237288031722,0.0620416399351792,0.0218147720131233,0.060882661557944334
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p15,3,True,True,0.0392999928485393,0.06190064446669443,0.020779833941442,0.06015428319491967
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p1,3,True,True,0.0388264013341353,0.06075521680597513,0.0212723478802386,0.05994632062886827
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p025,3,True,True,0.0374491891691795,0.060222372038813636,0.0207000912035388,0.060166944452235666
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p075,3,True,True,0.0382457368374206,0.06001994007105693,0.0203227045248934,0.059297047862041964
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p1,3,True,True,0.03723357288008,0.058751881171028066,0.0186183160385025,0.05805156062130199
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p15,3,True,True,0.0390063393966549,0.05838459246897004,0.0198155738346903,0.0574085562489903
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p05,3,True,True,0.037693801739668,0.0576493474469325,0.0191157638820715,0.05730906701780747
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p1,3,True,True,0.0371248961320779,0.056625914296771294,0.0189072015950994,0.055796801143014295
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p075,3,True,True,0.0364946174509772,0.0559141425725788,0.0184897755626307,0.055354928480277975
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p15,3,True,True,0.0366835084304451,0.0558235182790656,0.0176637776909611,0.05509564175207876
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p15,3,True,True,0.0335991395809422,0.051242423772160005,0.0167464536274688,0.05121234499284041
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p1,3,True,True,0.0323632083003992,0.05003875396417184,0.0175010305834347,0.05203522037527053
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p075,3,True,True,0.0320645718076574,0.04908637826000794,0.0171234894070998,0.05279027813614593
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p05,3,True,True,0.030767267453604,0.0477783393016974,0.0162576338120774,0.053146561161817464
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p15,3,True,True,0.030614628003706,0.0461556546117686,0.016826655922562,0.049954566431072524
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p1,3,True,True,0.025342696804414,0.03993036749199393,0.0114975139054609,0.046972778268162006
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p15,3,True,True,0.0249254953226629,0.03816005069250463,0.0110834298976637,0.04550316420826627
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p075,3,True,True,0.0222696865203964,0.0353832271841431,0.0090382991624222,0.043398205486064934
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p15,3,True,True,0.0195969072082917,0.030491082033117598,0.0080926393946552,0.038936935932610266
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p1,3,True,True,0.0183536267764916,0.0300005072413521,0.0069614934242233,0.03855636229179517
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p15,3,True,True,0.0135904698559018,0.021642375670721265,0.0056661467483252,0.03146419628813656
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p025,3,True,True,0.0427617037952017,0.0682499627229501,0.0325836936092951,0.06602576296981026
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,std_rel_f0p70_ref1p0_base0p025,3,True,True,0.0419761131332396,0.0670792981987231,0.0309128955263886,0.0783185853462552
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,count_std_rel_f0p75_count12_std1p0_base0p025,3,True,True,0.0419707680713132,0.06689233552715616,0.0296711082952222,0.08228707367016137
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,std_rel_f0p70_ref1p5_base0p025,3,True,True,0.0405145438813769,0.0660027006689375,0.028875141402033,0.07327989687140928
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,hist_rel_f0p80_cap90_base0p025,3,True,True,0.0428126931654226,0.0626901942965017,0.0283083360825279,0.060860085711859864
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,count_hist_std_rel_fallback0p05,3,True,True,0.0422372007512837,0.06137768794054016,0.0226446591331521,0.07620971609561167
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,hist_std_rel_fallback0p05,3,True,True,0.0406569330691988,0.0606628112370087,0.0217375215630243,0.07019813515881296
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,hist_rel_f0p70_cap100_base0p025,3,True,True,0.0423778527322014,0.06023926635536644,0.027438489554673,0.06025847709467406
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,pos_rel_f0p80_cap20_base0p025,3,True,True,0.0420361097853478,0.05135005934921507,0.0303969966772315,0.046566066196903934
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,pos_std_rel_fallback0p05,3,True,True,0.04184721880588,0.0511582993836647,0.0294506428492665,0.055936027150397805
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,hist_pos_std_rel_fallback0p05,3,True,True,0.0386571126217645,0.05094229553844897,0.0247719776058776,0.05819375213678163
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,hist_pos_std_rel_fallback0p10,3,True,True,0.0364178368596163,0.049503455773224535,0.0226167255661425,0.05681606345201943
