fold,event_count,user_count,positive_count,negative_count,like_rate,valid_user_count,excluded_user_count,real_gauc,real_macro_auc,real_global_auc,h2_gauc,zero_gauc,shuffle_gauc,delta_h2_gauc,delta_zero_gauc,delta_shuffle_gauc,zero_sensitivity_mean,shuffle_sensitivity_mean,h2_sensitivity_mean,eeg_correction_abs_mean,history_length_mean,history_length_median,seen_item_rate,session_mode_distribution,video_type_distribution,current_champion_gauc,delta_current_champion_gauc,run_gauc_mean,run_gauc_std,run_gauc_max,run_gauc_min,run_macro_auc_mean,run_global_auc_mean,best_seed,best_seed_gauc,run_delta_h2_mean,run_zero_sensitivity_mean,run_shuffle_sensitivity_mean,run_correction_abs_mean,eeg_epoch_count,eeg_pairwise_loss_mean,eeg_listwise_loss_mean,eeg_correction_l2_loss_mean,eeg_paired_users_mean,eeg_listwise_users_mean,eeg_listwise_pairs_mean,eeg_best_dev_gauc_seen,train_pair_eligible_user_count,train_pair_cap_per_epoch_sum,train_pair_minor_class_coverage_mean,train_pair_pairspace_coverage_mean
1,349,30,134,215,0.3839541547277937,28,2,0.5943764941526135,0.5885254329004329,0.591461298160361,0.5917728457280698,0.5962255820464777,0.5953182141241844,0.0026036484245437475,-0.0018490878938641764,-0.0009417199715708868,0.004197580645567136,0.001380871486811834,0.005852171142497514,0.030560158517802485,20.0,20.0,0.24355300859598855,0:0.0372;1:0.4585;2:0.1117;3:0.3926,0:0.2063;1:0.6819;2:0.1117,0.6038363377915618,-0.009459843638948251,0.5966431191804326,0.016047798423816855,0.6118891473369086,0.5744610281923715,0.5916511486749583,0.5841837325002893,1,0.6118891473369086,0.0019912343046671003,0.004309845118162499,0.0014924770609165,0.030560159434874834,28,0.7282431855493662,0.6008859738251385,0.0,262.92857142857144,262.92857142857144,1466.142857142857,0.6118891473369086,30,386,0.8460879000650168,0.021074897876097284
2,356,30,117,239,0.32865168539325845,26,4,0.6396116296897547,0.6386270211270213,0.6930944462325215,0.6326315611471861,0.6020451163419913,0.6324644886363637,0.006980068542568607,0.0375665133477634,0.007147141053390982,0.07254224410629397,0.02825800236619744,0.053327603598538616,0.28373058838618914,20.0,20.0,0.17134831460674158,0:0.0421;1:0.5646;2:0.1826;3:0.2107,0:0.1152;1:0.7022;2:0.1826,0.6280566829004328,0.011554946789321896,0.6345950577200578,0.02818398158154968,0.6694868326118326,0.6004630005411256,0.6350204425204425,0.6718759312901573,1,0.6694868326118326,0.0199908309283309,0.07504336163401604,0.031291381145516974,0.2837305838863055,38,0.7198358660696461,0.5767714768740415,0.0,320.7368421052632,320.7368421052632,1791.0263157894738,0.6694868326118326,30,419,0.7589170482462536,0.015933182418490652
3,357,30,111,246,0.31092436974789917,24,6,0.6012019352054317,0.6162029714113048,0.6836958910129641,0.5885574701134142,0.5825947071576443,0.5833565327446446,0.012644465092017554,0.018607228047787472,0.01784540246078714,0.028639463671282225,0.01777275654476007,0.043301565536096986,0.20811898514247948,20.0,20.0,0.10084033613445378,0:0.0420;1:0.6499;2:0.2241;3:0.0840,0:0.0532;1:0.7227;2:0.2241,0.6361369787943215,-0.03493504358888977,0.6016062026551537,0.012031787828508424,0.6184142198128213,0.5909078974638415,0.6173523287412177,0.6644205180790547,0,0.6184142198128213,0.010356685531510633,0.0307916351302992,0.0181555172942656,0.20811898855026803,28,0.7381332477288588,0.6283480869340047,0.0,369.60714285714283,369.60714285714283,2089.1428571428573,0.6184142198128213,30,429,0.6862128622582788,0.012347028127054925
