phase,split_version,sampling_definition,source_stage,candidate,uses_eeg,score_alignment,seed_count,mean_transfer_gauc,std_transfer_gauc,mean_transfer_macro_user_auc,mean_transfer_global_auc,mean_local_user_pair_gauc,mean_local_user_macro_auc,mean_local_pair_auc,mean_local_pair_count,mean_train_pair_count_total,mean_train_pair_count_used,seed_beats_current_champion_rate,seed_hits_0p8_rate,delta_transfer_gauc_vs_current_champion,hits_0p8
V2-L,protocol_a_rollv2_cv3,same_session,V2-K,V2K-real-full_mean_std-same_session,True,user_center_alpha_2p0,3,0.6624706714176868,0.011062413827139206,0.6647658833670739,0.5932074817608016,0.6676936121213517,0.6733285120401732,0.6676936121213517,1800.0,26068.0,8472.0,1.0,0.0,0.046450195594914034,False
V2-L,protocol_a_rollv2_cv3,same_user_recent20,V2-K,V2K-real-full_mean_std-same_user_recent20,True,user_center_alpha_2p0,3,0.646499022479495,0.007629220648373676,0.6429771081358383,0.6220809678407216,0.663459565673233,0.6581654935423726,0.663459565673233,1800.0,41045.0,9000.0,1.0,0.0,0.030478546656722227,False
V2-L,protocol_a_rollv2_cv3,same_user_all,V2-K,V2K-real-full_mean_std-same_user_all,True,user_center_alpha_2p0,3,0.6115830757925382,0.015640434339643024,0.6117712242563433,0.63749304618689,0.6205631682120231,0.6203232414653762,0.6205631682120231,1800.0,92466.0,9000.0,0.3333333333333333,0.0,-0.004437400030234517,False
